tagger_decision_id,tweet_id,tagged_by,classification,features,tagging_date,tagging_duration
54,1795928261425508900,3,Negative,[],2025-03-19 11:02:50.229505,0 days 00:00:14.795000
55,1895537830077870000,3,Irrelevant,[],2025-03-19 11:02:56.161967,0 days 00:00:05.662000
56,1857663553907446300,3,Negative,[],2025-03-19 11:03:06.431891,0 days 00:00:10.011000
57,1852851667772834300,3,Positive,['Justifying Nazi ideology'],2025-03-19 11:03:36.103178,0 days 00:00:29.409000
58,1729630371464003800,3,Negative,[],2025-03-19 11:03:43.020582,0 days 00:00:06.654000
59,1873799840984941000,3,Negative,[],2025-03-19 11:03:49.267932,0 days 00:00:05.968000
60,1844980852066800000,3,Irrelevant,[],2025-03-19 11:03:55.527310,0 days 00:00:05.964000
61,1836211949639790600,3,Positive,['Other'],2025-03-19 11:05:19.577326,0 days 00:01:23.720000
62,1848845407096554000,3,Negative,[],2025-03-19 11:05:33.911149,0 days 00:00:14.060000
63,1853581953972457500,3,Negative,[],2025-03-19 11:05:43.924852,0 days 00:00:09.752000
64,1893316790266081300,3,Negative,[],2025-03-19 11:05:58.314836,0 days 00:00:14.115000
65,1738148698847396000,3,Negative,[],2025-03-19 11:06:14.890391,0 days 00:00:16.323000
66,1792104130854670800,3,Positive,['Other'],2025-03-19 11:07:24.668169,0 days 00:01:09.448000
67,1878174018391409000,3,Negative,[],2025-03-19 11:07:33.192072,0 days 00:00:08.243000
69,1768462114010870000,3,Irrelevant,[],2025-03-19 11:07:46.165838,0 days 00:00:05.870000
71,1774330522531218000,3,Positive,"[""Denying the Jewish people's right to self-determination/the right of Israel to exist""]",2025-03-19 11:08:42.974532,0 days 00:00:30.679000
73,1867119970846663000,3,Negative,[],2025-03-19 11:09:02.009586,0 days 00:00:12.857000
75,1841049096574157000,3,Positive,['Justifying Nazi ideology'],2025-03-19 11:09:27.485553,0 days 00:00:19.806000
77,1843900448023163100,3,Irrelevant,[],2025-03-19 11:09:41.095288,0 days 00:00:02.163000
79,1748532417017811200,3,Negative,[],2025-03-19 11:10:27.262392,0 days 00:00:10.138000
81,1812114968315314200,3,Irrelevant,[],2025-03-19 11:10:44.597090,0 days 00:00:07.043000
83,1713153259438039600,3,Negative,[],2025-03-19 11:11:40.645360,0 days 00:00:11.101000
85,1756139288402793000,3,Irrelevant,[],2025-03-19 11:11:52.279380,0 days 00:00:05.267000
87,1870642789467517400,3,Negative,[],2025-03-19 11:12:07.914576,0 days 00:00:08.792000
89,1872913797494780200,3,Positive,"['Spreading conspiracy theories about Jewish control (power, money, and media)', 'Demonization of Jews (portraying them as inferior and despicable)']",2025-03-19 11:12:56.505818,0 days 00:00:23.243000
91,1762779083187057200,3,Irrelevant,[],2025-03-19 11:13:14.506067,0 days 00:00:06.665000
93,1870066692061016300,3,Positive,"['Spreading conspiracy theories about Jewish control (power, money, and media)']",2025-03-19 11:14:07.333867,0 days 00:00:45.162000
95,1835474342328902000,3,Irrelevant,[],2025-03-19 11:14:18.371632,0 days 00:00:04.818000
97,1840516621028221000,3,Positive,"['Spreading conspiracy theories about Jewish control (power, money, and media)']",2025-03-19 11:15:06.972044,0 days 00:00:31.117000
99,1884264526973133000,3,Negative,[],2025-03-19 11:15:30.344041,0 days 00:00:08.865000
101,1824364637451850000,3,Negative,[],2025-03-19 11:15:45.385392,0 days 00:00:08.755000
103,1818267260114313500,3,Negative,[],2025-03-19 11:16:13.193541,0 days 00:00:08.211000
105,1721427368588480800,3,Negative,[],2025-03-19 11:16:37.833365,0 days 00:00:12.722000
107,1785449969836777500,3,Negative,[],2025-03-19 11:17:22.004664,0 days 00:00:18.124000
1225,1876177171976462300,5,Positive,"['Spreading conspiracy theories about Jewish control (power, money, and media)']",2025-03-22 22:58:12.587546,0 days 00:00:15.606000
1229,1784449748273078300,5,Negative,[],2025-03-22 22:59:13.440870,0 days 00:00:26.072000
1230,1887092969964175400,5,Irrelevant,[],2025-03-22 22:59:26.689915,0 days 00:00:12.801000
1231,1823128273775440000,5,Irrelevant,[],2025-03-22 22:59:30.085941,0 days 00:00:02.988000
1232,1886310902456271000,5,Positive,['Justifying Nazi ideology'],2025-03-22 22:59:57.159271,0 days 00:00:26.683000
1234,1870693649803334000,5,Positive,"['Spreading conspiracy theories about Jewish control (power, money, and media)']",2025-03-22 23:00:20.862548,0 days 00:00:20.361000
1235,1824450461069611500,5,Irrelevant,[],2025-03-22 23:00:24.216047,0 days 00:00:02.839000
1236,1745028273791521000,5,Irrelevant,[],2025-03-22 23:00:27.168952,0 days 00:00:02.601000
1237,1776853077158506500,5,Irrelevant,[],2025-03-22 23:00:30.000254,0 days 00:00:02.381000
1241,1868415821040796200,5,Irrelevant,[],2025-03-22 23:01:08.620456,0 days 00:00:06.084000
1242,1756182327221452800,5,Negative,[],2025-03-22 23:01:19.244613,0 days 00:00:10.150000
1243,1799746068307231000,5,Irrelevant,[],2025-03-22 23:01:22.530132,0 days 00:00:02.789000
1244,1887092969964175400,16,Irrelevant,[],2025-03-23 08:31:44.042156,0 days 00:00:21.299000
1245,1880078277530013700,16,Negative,[],2025-03-23 08:31:56.038525,0 days 00:00:11.568000
1246,1878098055695835400,16,Irrelevant,[],2025-03-23 08:32:28.069922,0 days 00:00:31.730000
1247,1783256643964453000,16,Negative,[],2025-03-23 08:32:37.176076,0 days 00:00:08.374000
1248,1851796508892631600,16,Negative,[],2025-03-23 08:32:45.053065,0 days 00:00:07.604000
1249,1786955870959747600,16,Positive,['Other'],2025-03-23 08:33:12.383081,0 days 00:00:26.982000
1250,1795973765794332700,16,Irrelevant,[],2025-03-23 08:33:23.587700,0 days 00:00:10.922000
1251,1878097503486370000,16,Negative,[],2025-03-23 08:33:46.667791,0 days 00:00:22.741000
1252,1755858468169458000,16,Negative,[],2025-03-23 08:33:54.434694,0 days 00:00:07.504000
1253,1756182327221452800,16,Negative,[],2025-03-23 08:34:25.267218,0 days 00:00:30.520000
1254,1841227836461638100,16,Negative,[],2025-03-23 08:34:37.440603,0 days 00:00:11.826000
1255,1737762986796946000,16,Negative,[],2025-03-23 08:34:50.019753,0 days 00:00:12.322000
1256,1874422711101087700,16,Negative,[],2025-03-23 08:35:05.422108,0 days 00:00:15.115000
1257,1868821371167580400,16,Irrelevant,[],2025-03-23 08:35:15.986409,0 days 00:00:10.244000
1258,1779058209040499000,16,Negative,[],2025-03-23 08:35:21.821141,0 days 00:00:05.508000
1259,1892217981590991400,6,Negative,[],2025-03-23 10:18:25.432992,0 days 00:20:44.328000
1264,1839691483148099800,6,Irrelevant,[],2025-03-23 10:25:29.976829,0 days 00:04:19.594000
1270,1842155438592393700,6,Uncertain,[],2025-03-23 10:31:29.530758,0 days 00:01:14.356000
1271,1711879155149951200,6,Positive,['Other'],2025-03-23 10:51:23.626377,0 days 00:19:53.709000
1272,1878926550504182300,6,Negative,[],2025-03-23 10:51:38.181722,0 days 00:00:14.271000
1275,1871039184187822300,6,Positive,['Calls for harming/killing Jews'],2025-03-23 10:54:58.503405,0 days 00:00:14.909000
1276,1740230260481032200,6,Negative,[],2025-03-23 10:58:36.038528,0 days 00:03:37.175000
1277,1763863686563955000,6,Positive,['Collective blame of Jews for actions of the State of Israel'],2025-03-23 10:59:14.748215,0 days 00:00:38.344000
1279,1785449971703296300,6,Negative,[],2025-03-23 10:59:48.139052,0 days 00:00:23.407000
1503,1883981501857161500,15,Negative,[],2025-03-24 09:07:24.487398,0 days 00:00:02.630000
1504,1812259170282000600,15,Positive,['Other'],2025-03-24 09:07:55.899733,0 days 00:00:31.097000
1505,1873799840984941000,15,Negative,[],2025-03-24 09:07:58.628780,0 days 00:00:02.455000
1506,1719576151788830700,15,Positive,['Other'],2025-03-24 09:08:07.260380,0 days 00:00:08.291000
1507,1846951659219411500,15,Negative,[],2025-03-24 09:08:15.180414,0 days 00:00:07.651000
1508,1822668544624271400,15,Negative,[],2025-03-24 09:08:33.508252,0 days 00:00:18.043000
1509,1867403870504411100,15,Negative,[],2025-03-24 09:08:38.148668,0 days 00:00:04.343000
1510,1796429908526408000,15,Negative,[],2025-03-24 09:08:41.668743,0 days 00:00:03.151000
1511,1889565159804252200,15,Negative,[],2025-03-24 09:08:55.587543,0 days 00:00:13.542000
1512,1856631843023712500,15,Negative,[],2025-03-24 09:09:01.661133,0 days 00:00:05.731000
68,1745028273791521000,3,Negative,[],2025-03-19 11:07:40.025373,0 days 00:00:06.550000
70,1854264973977100500,3,Positive,"[""Denying the Jewish people's right to self-determination/the right of Israel to exist""]",2025-03-19 11:08:12.044689,0 days 00:00:25.628000
72,1869212604301979600,3,Irrelevant,[],2025-03-19 11:08:48.860804,0 days 00:00:05.630000
74,1866623068870939100,3,Negative,[],2025-03-19 11:09:07.384826,0 days 00:00:05.040000
76,1891848967253541000,3,Negative,[],2025-03-19 11:09:38.648536,0 days 00:00:10.912000
78,1808731082336108500,3,Positive,['Other'],2025-03-19 11:10:16.873280,0 days 00:00:35.504000
80,1806605841057173800,3,Negative,[],2025-03-19 11:10:37.263893,0 days 00:00:09.731000
82,1814455828034007000,3,Positive,['Other'],2025-03-19 11:11:29.280734,0 days 00:00:44.421000
84,1870424282532372700,3,Irrelevant,[],2025-03-19 11:11:46.757036,0 days 00:00:05.842000
86,1821332535999394000,3,Negative,[],2025-03-19 11:11:58.867308,0 days 00:00:06.324000
88,1718024789812789200,3,Negative,[],2025-03-19 11:12:32.989063,0 days 00:00:24.807000
90,1856499937229582800,3,Negative,[],2025-03-19 11:13:07.591595,0 days 00:00:10.837000
92,1796429908526408000,3,Negative,[],2025-03-19 11:13:21.887868,0 days 00:00:07.068000
94,1829058255269835000,3,Negative,[],2025-03-19 11:14:13.213347,0 days 00:00:05.554000
96,1822668544624271400,3,Negative,[],2025-03-19 11:14:35.595125,0 days 00:00:16.965000
98,1886793193355628800,3,Negative,[],2025-03-19 11:15:21.207577,0 days 00:00:13.985000
100,1871753786429243600,3,Negative,[],2025-03-19 11:15:36.352111,0 days 00:00:05.749000
102,1816909216680223200,3,Negative,[],2025-03-19 11:16:04.723724,0 days 00:00:19.055000
104,1883286283994497300,3,Negative,[],2025-03-19 11:16:24.855791,0 days 00:00:11.396000
106,1838960244883382500,3,Positive,"['Spreading conspiracy theories about Jewish control (power, money, and media)']",2025-03-19 11:17:03.631462,0 days 00:00:25.529000
108,1717285607947559200,3,Negative,[],2025-03-19 11:17:41.729408,0 days 00:00:19.466000
109,1732010421777805600,3,Negative,[],2025-03-19 11:17:53.612711,0 days 00:00:11.610000
110,1892258570550280200,3,Negative,[],2025-03-19 11:18:00.851456,0 days 00:00:06.989000
111,1825115515834045000,3,Negative,[],2025-03-19 11:18:07.227661,0 days 00:00:06.105000
112,1830472523869557200,3,Positive,['Justifying Nazi ideology'],2025-03-19 11:18:46.690766,0 days 00:00:39.195000
113,1806543085721317600,3,Positive,['Collective blame of Jews for actions of the State of Israel'],2025-03-19 11:19:12.837215,0 days 00:00:25.855000
114,1819811720983908900,3,Negative,[],2025-03-19 11:19:32.634245,0 days 00:00:19.541000
115,1863921539864785400,3,Negative,[],2025-03-19 11:19:42.588281,0 days 00:00:09.662000
116,1870776002571604200,3,Positive,['Other'],2025-03-19 11:19:59.292428,0 days 00:00:16.435000
117,1818942219900052000,3,Negative,[],2025-03-19 11:20:25.981819,0 days 00:00:26.431000
118,1875414494043893800,3,Negative,[],2025-03-19 11:20:34.829426,0 days 00:00:08.593000
119,1849746387107459300,3,Negative,[],2025-03-19 11:20:41.390540,0 days 00:00:06.305000
120,1841989004599951400,3,Negative,[],2025-03-19 11:20:52.025270,0 days 00:00:10.385000
121,1818941595401724400,3,Negative,[],2025-03-19 11:20:58.766946,0 days 00:00:06.489000
122,1853375386999992600,3,Negative,[],2025-03-19 11:21:05.146935,0 days 00:00:06.093000
123,1822925497816519000,3,Positive,['Justifying Nazi ideology'],2025-03-19 11:21:34.142039,0 days 00:00:28.737000
124,1771049696095555800,3,Negative,[],2025-03-19 11:21:41.970130,0 days 00:00:07.574000
125,1820548633714159900,3,Positive,"['Spreading conspiracy theories about Jewish control (power, money, and media)']",2025-03-19 11:22:00.251381,0 days 00:00:18.017000
126,1883555717430608000,9,Negative,[],2025-03-19 12:28:01.149813,0 days 00:00:19.400000
127,1807340747928257000,9,Negative,[],2025-03-19 12:28:07.873219,0 days 00:00:06.471000
128,1838159553080569900,9,Negative,[],2025-03-19 12:28:27.086702,0 days 00:00:18.947000
129,1817377926280884500,9,Negative,[],2025-03-19 12:28:44.959702,0 days 00:00:17.622000
130,1756263285547229400,9,Negative,[],2025-03-19 12:28:55.125621,0 days 00:00:09.891000
131,1756916447463526700,9,Positive,['Comparing Israel and its policies to Nazi Germany'],2025-03-19 12:29:23.924770,0 days 00:00:28.531000
132,1792851815912161500,9,Positive,"['Spreading conspiracy theories about Jewish control (power, money, and media)']",2025-03-19 12:29:40.099394,0 days 00:00:15.930000
133,1830407463453290500,9,Negative,[],2025-03-19 12:29:46.291919,0 days 00:00:05.939000
134,1888025062936072700,9,Positive,"['Spreading conspiracy theories about Jewish control (power, money, and media)']",2025-03-19 12:30:04.554175,0 days 00:00:17.989000
135,1858873095219532300,9,Positive,['Other'],2025-03-19 12:30:46.066179,0 days 00:00:41.254000
136,1889565159804252200,9,Negative,[],2025-03-19 12:31:03.167969,0 days 00:00:16.838000
137,1888121732768420000,9,Positive,"['Spreading conspiracy theories about Jewish control (power, money, and media)']",2025-03-19 12:31:17.229969,0 days 00:00:13.789000
138,1846071832870277600,9,Negative,[],2025-03-19 12:32:04.530105,0 days 00:00:47.027000
139,1884010963546108000,9,Positive,['Other'],2025-03-19 12:32:37.521019,0 days 00:00:32.739000
140,1881094067586847000,9,Irrelevant,[],2025-03-19 12:32:55.838016,0 days 00:00:18.056000
141,1764580896425058800,9,Irrelevant,[],2025-03-19 12:33:01.113193,0 days 00:00:05.020000
142,1867403865290944800,9,Positive,"['Other', 'Collective blame of Jews for actions of the State of Israel']",2025-03-19 12:33:42.626871,0 days 00:00:41.244000
143,1729995122564362800,9,Positive,['Calls for harming/killing Jews'],2025-03-19 12:33:52.628230,0 days 00:00:09.744000
144,1812642596034068500,9,Negative,[],2025-03-19 12:33:59.737171,0 days 00:00:06.853000
145,1777873640400605200,9,Negative,[],2025-03-19 12:34:04.121324,0 days 00:00:04.136000
146,1863940683985195300,9,Negative,[],2025-03-19 12:34:12.430419,0 days 00:00:08.064000
147,1867403862593921000,9,Positive,['Collective blame of Jews for actions of the State of Israel'],2025-03-19 12:34:45.754588,0 days 00:00:33.075000
148,1758998312181711000,9,Positive,"['Spreading conspiracy theories about Jewish control (power, money, and media)']",2025-03-19 12:35:12.212421,0 days 00:00:26.206000
149,1876700438185013500,9,Irrelevant,[],2025-03-19 12:35:16.376690,0 days 00:00:03.913000
150,1842009930875994400,9,Irrelevant,[],2025-03-19 12:35:22.265545,0 days 00:00:05.622000
151,1887719801683849700,9,Positive,['Calling for violence and hostility against Israel'],2025-03-19 12:35:45.785475,0 days 00:00:23.262000
152,1796429908526408000,9,Irrelevant,[],2025-03-19 12:35:54.130505,0 days 00:00:08.081000
153,1794945715858543000,9,Irrelevant,[],2025-03-19 12:36:07.143370,0 days 00:00:12.728000
155,1867403867933356000,9,Negative,[],2025-03-19 12:36:51.853430,0 days 00:00:39.065000
156,1800499502597722400,9,Negative,[],2025-03-19 12:37:11.128125,0 days 00:00:19.006000
158,1746338509190001000,9,Positive,"['Calling for violence and hostility against Israel', 'Calls for harming/killing Jews']",2025-03-19 12:38:13.771338,0 days 00:00:33.155000
161,1806147702679597300,9,Negative,[],2025-03-19 12:43:03.144584,0 days 00:00:21.456000
163,1756182091979796700,9,Irrelevant,[],2025-03-19 12:43:37.870812,0 days 00:00:04.446000
165,1791029318120075300,9,Negative,[],2025-03-19 12:43:51.257714,0 days 00:00:09.126000
167,1723930025504981200,9,Negative,[],2025-03-19 12:44:07.275478,0 days 00:00:08.960000
1226,1864227621237870600,5,Irrelevant,[],2025-03-22 22:58:19.868795,0 days 00:00:06.971000
1227,1855716861830455300,5,Irrelevant,[],2025-03-22 22:58:23.808699,0 days 00:00:03.467000
1228,1840303430096552200,5,Positive,['Other'],2025-03-22 22:58:46.871371,0 days 00:00:22.647000
1233,1878279199846478300,5,Irrelevant,[],2025-03-22 22:59:59.993707,0 days 00:00:02.380000
1238,1795973765794332700,5,Irrelevant,[],2025-03-22 23:00:39.450168,0 days 00:00:09.065000
1239,1786633578891325700,5,Negative,[],2025-03-22 23:00:48.434980,0 days 00:00:08.527000
1240,1795309823430701300,5,Negative,[],2025-03-22 23:01:02.003302,0 days 00:00:13.189000
1260,1743934103081161000,6,Negative,[],2025-03-23 10:19:02.582621,0 days 00:00:36.818000
1261,1817483165365067800,6,Irrelevant,[],2025-03-23 10:20:35.048395,0 days 00:01:32.119000
1262,1838940270798500000,6,Irrelevant,[],2025-03-23 10:20:59.668266,0 days 00:00:24.218000
1263,1803507273068892400,6,Irrelevant,[],2025-03-23 10:21:09.917856,0 days 00:00:09.831000
1265,1873799840984941000,6,Irrelevant,[],2025-03-23 10:25:59.299969,0 days 00:00:28.903000
1266,1831345788028592400,6,Negative,[],2025-03-23 10:29:11.667381,0 days 00:03:11.876000
1267,1877645970181423600,6,Negative,[],2025-03-23 10:29:43.107721,0 days 00:00:31.076000
1268,1822909874612887600,6,Negative,[],2025-03-23 10:29:59.852610,0 days 00:00:16.339000
1269,1853124926384791800,6,Negative,[],2025-03-23 10:30:14.794772,0 days 00:00:14.520000
1273,1883343052980548000,6,Positive,['Other'],2025-03-23 10:52:28.008885,0 days 00:00:49.485000
1274,1894565928710386000,6,Uncertain,[],2025-03-23 10:54:43.179699,0 days 00:02:14.766000
1278,1786132717765112300,6,Irrelevant,[],2025-03-23 10:59:24.394951,0 days 00:00:09.320000
1513,1812414507534504000,15,Negative,[],2025-03-24 09:09:04.828018,0 days 00:00:02.864000
1514,1801719255395930400,15,Negative,[],2025-03-24 09:09:15.199078,0 days 00:00:10.073000
1515,1800081084014797000,15,Negative,[],2025-03-24 09:09:18.476782,0 days 00:00:02.941000
1516,1855021414795166000,15,Negative,[],2025-03-24 09:09:20.998246,0 days 00:00:02.191000
1517,1850903794000777700,15,Negative,[],2025-03-24 09:09:26.068161,0 days 00:00:04.782000
1518,1727821477326828000,15,Positive,['Other'],2025-03-24 09:09:43.801006,0 days 00:00:17.398000
1519,1883286283994497300,15,Negative,[],2025-03-24 09:09:49.414267,0 days 00:00:05.309000
1520,1820606627957104600,15,Negative,[],2025-03-24 09:09:51.587543,0 days 00:00:01.837000
1521,1888674642853806000,15,Negative,[],2025-03-24 09:09:54.726050,0 days 00:00:02.794000
1522,1843593597691801600,15,Negative,[],2025-03-24 09:09:57.001626,0 days 00:00:01.957000
1523,1877919070739120600,15,Negative,[],2025-03-24 09:10:06.924774,0 days 00:00:09.631000
1524,1894631524617916400,15,Positive,"['Collective blame of Jews for actions of the State of Israel', ""Denying the Jewish people's right to self-determination/the right of Israel to exist""]",2025-03-24 09:10:58.943605,0 days 00:00:51.696000
1525,1856167385222324700,15,Negative,[],2025-03-24 09:11:03.430019,0 days 00:00:04.201000
1526,1844984697597854000,15,Negative,[],2025-03-24 09:11:12.451358,0 days 00:00:08.684000
1527,1863940231679885800,15,Negative,[],2025-03-24 09:11:17.963816,0 days 00:00:05.161000
1528,1852851667772834300,15,Negative,[],2025-03-24 09:11:28.170040,0 days 00:00:09.907000
1529,1841598562414821400,15,Negative,[],2025-03-24 09:11:30.626375,0 days 00:00:02.110000
1530,1753332895492788500,15,Positive,"[""Denying the Jewish people's right to self-determination/the right of Israel to exist""]",2025-03-24 09:11:48.620684,0 days 00:00:17.656000
1531,1828982585403552300,15,Negative,[],2025-03-24 09:12:06.922373,0 days 00:00:18.037000
1532,1885354057428095200,15,Negative,[],2025-03-24 09:12:08.702731,0 days 00:00:01.448000
1533,1794905651896037600,15,Positive,['Other'],2025-03-24 09:12:21.146483,0 days 00:00:12.148000
1534,1736023615827796500,15,Positive,['Other'],2025-03-24 09:12:53.182631,0 days 00:00:31.740000
1535,1801985592500359700,15,Negative,[],2025-03-24 09:12:57.352245,0 days 00:00:03.899000
1536,1791029318120075300,15,Negative,[],2025-03-24 09:13:02.342710,0 days 00:00:04.688000
1537,1795035558894289200,15,Negative,[],2025-03-24 09:13:06.996493,0 days 00:00:04.284000
1538,1818419728245047800,15,Negative,[],2025-03-24 09:13:08.900660,0 days 00:00:01.630000
1539,1713153259438039600,15,Negative,[],2025-03-24 09:13:14.551992,0 days 00:00:05.372000
1540,1884254674259431400,15,Negative,[],2025-03-24 09:13:16.789828,0 days 00:00:01.871000
1541,1786902103988097000,15,Negative,[],2025-03-24 09:13:19.065019,0 days 00:00:01.941000
1542,1885357429006667800,15,Negative,[],2025-03-24 09:13:22.226073,0 days 00:00:02.823000
1543,1729630371464003800,15,Negative,[],2025-03-24 09:13:25.454915,0 days 00:00:02.886000
1544,1785449969836777500,15,Positive,"['Spreading conspiracy theories about Jewish control (power, money, and media)']",2025-03-24 09:13:55.802989,0 days 00:00:30.038000
1545,1860805929819623400,15,Negative,[],2025-03-24 09:13:58.106956,0 days 00:00:02.014000
1546,1711640516784493000,15,Negative,[],2025-03-24 09:14:11.168721,0 days 00:00:12.780000
1547,1802938603338870800,15,Negative,[],2025-03-24 09:14:14.585648,0 days 00:00:03.071000
1548,1880329755242951000,15,Negative,[],2025-03-24 09:14:22.540271,0 days 00:00:07.593000
1549,1880251093470646500,15,Negative,[],2025-03-24 09:14:27.894979,0 days 00:00:05.020000
1550,1828010654382645200,15,Negative,[],2025-03-24 09:14:31.276336,0 days 00:00:03.108000
1551,1866611154052657200,15,Negative,[],2025-03-24 09:14:33.495803,0 days 00:00:01.877000
1552,1867249151114973200,15,Negative,[],2025-03-24 09:14:37.419354,0 days 00:00:03.635000
1553,1884573428105019400,15,Negative,[],2025-03-24 09:14:40.013298,0 days 00:00:02.260000
1554,1732010421777805600,15,Negative,[],2025-03-24 09:14:43.358370,0 days 00:00:03.033000
154,1820606627957104600,9,Negative,[],2025-03-19 12:36:12.530421,0 days 00:00:05.105000
