content,sentiment,decision_source
@SamParkerSenate @Lucas_Gage_ The 4 be 2's are gonna keep the war going till 2025 . A lot of people are gonna start noticing .,Negative,User agreement
"@DrewPavlou Obvious being satirical, this conversation would not make sense unironically",Irrelevant,User agreement
"@jewsagainstfash Jews chestpuffing after the fact, yet I didn't see you down there?

Prefer to have your pigs, brown sludge and communist golems do the heavy lifting so you can play twitter toughguy a day later, shlomo?",Positive,User agreement
"If a certain group were another color, would more people notice their concentration of power?

H/T @tonyrigatonee 👈 Give him a follow",Negative,User agreement
Friendly reminder this is not an argument and merely an assertion. Nowhere in Christianity does it imply that there aren't superior & inferior people on some level. Equality only exists insofar as souls are of equal value in the eyes of God & are likewise loved and judged equally,Negative,User agreement
"@PeterDutton_MP ""Properly managed migration"" lol

Sounds like certain someone who shall remain nameless but has Peter as a first name will still import record amounts of immigrants like his Liberal and Labor predecessors 🤨

The people want calls for mass deportation, end of story",Negative,User agreement
@Pohl_MdB Sieg heil.,Positive,User agreement
When I say 'Pan-Europeanism' I don't mean the dissolution of specific European identities I mean to cooperation of all European ethnicities inside and outside Europe.,Negative,User agreement
Getting dwarfed by the Mussolini Obelisk,Negative,User agreement
"Where is the Australian government condemnation.  Where are the sanctions? #IsraelIsAnApartheidState
Israel's occupation of Palestinian territories is illegal, UN court rules -",Positive,User agreement
"🎶🎵 Fuck off we're full, fuck off we're full. 🎵🎶

🎶🎵 Fuck off we're full Australia for the White man, fuck off we're full! 🎵🎶",Negative,User agreement
We have to get every Indian out of this country by whatever means necessary.,Negative,User agreement
"📍Grampians national park 
@WhiteAusVic",Irrelevant,User agreement
@SenPaterson Still conflating ant zionism with anti semitism . Jews don't support Israel .,Positive,User agreement
"Mass deportations = return to white normalcy. 

Mass deportations is the only solution to crime

Mass deportations is the only way to fix the discontents of our civilization",Negative,User agreement
"Chants versus bombs. 
Feelings versus corpses.",Negative,User agreement
"Fuck you Israel and all your supporters. 

Karma's been pretty busy lately but you've seen nothing yet!",Positive,User agreement
Can't even wear this in public in this joke of a country without risking 1 year in jail btw,Negative,User agreement
"Let this sink in for a minute. 

Free palestine.",Positive,User agreement
"@pegasustits Easy to gloat when you're behind a wall of pigs with batons and pepper spray isn't it, fag?",Negative,User agreement
"He literally refused to surrender 

He killed himself to avoid capture 

He was offered to escape Berlin but he refused to leave. 

The allies drove Germany into ruin not Hitler. 

But you are owned by Jews so of course you'd say all of this.",Positive,User agreement
"Thank you @PatsKarvelas and @abcnews for the opportunity to speak on the UN vote and the genocide in Palestine.

You can listen to the interview here",Positive,User agreement
"Israel is not concerned with killing Hamas; Israel seeks to murder as many Palestinians as possible and make Gaza uninhabitable, leading to a slow death for the remaining Palestinians.",Positive,User agreement
Love you @TheGuyPearce,Negative,User agreement
@DrewPavlou I'm amazed that you didn't pop the tyres when you sat on the scooter,Irrelevant,User agreement
Seems like a film about Fiume is coming out,Irrelevant,User agreement
Not a finer group of lads in the country. Shrug off your inaction and join today,Irrelevant,User agreement
"Australian women murdered by Israel in Gaza as she was delivering food aid. 

Will you condemn Israel or blame her for her own murder?",Positive,User agreement
"""The Party told you to reject the evidence of your eyes and ears. It was their final, most essential command"" - George Orwell

Video by: @Norambu3na",Negative,User agreement
"@DrewPavlou ""Intimidating"" Jews is the same as exposing Jewish power? 

I wonder why that's the case.",Positive,User agreement
"Children should be able to enjoy their school and life instead of having to seek shelter from an illegal genocidal regime.

Via EyeonPalestine",Positive,User agreement
The actor for Mussolini looks more like Evola,Negative,User agreement
"The text messages, the political speeches, the slogans and songs, the interviews with Hamas spokespeople, the soundbites from Palestinians in Gaza's streets, the videos, the captions, the voice notes: you don't need to be a political analyst, historian or expert to comprehend that Israel cannot and will never defeat the Palestinian people. Not because we are special or superhuman but because Zionism forces us all to confront the irrepressible will and resolve of human beings to live with freedom and dignity. And that is why Israel and Zionism manifest the worst of humanity because they are confronted with the best of humanity and know it.",Positive,User agreement
"Nothing on the ABC. 🔻🔻
No university law schools or law societies tweeting about this monumental, historic moment.",Negative,User agreement
"Absolutely magnificent. 

Fuck you israel!",Positive,User agreement
"My piece in @PalStudies on Israel weaponising rape atrocity propaganda, how this isn't a #metoo or 'believe women' moment, and the racism and Orientalism of mainstream feminism & liberal 'progressives'.",Positive,User agreement
"@DrewPavlou @purplepingers Based ancestors, yet look at the weak and pathetic man that stands in their shoes.

South Africa was destroyed by communism but @purplepingers has the nerve to spread that disease in Australia.

We should deport him to Cape Town so he can live with the blacks.",Negative,User agreement
"So @realDonaldTrump just selected @marcorubio , one of the most heavily @aipac funded politicians in Washington, to Secretary of State

Is this America first? 
Is Rubio owned by JEWS?",Positive,User agreement
Yea,Irrelevant,User agreement
There's no Auschwitz in Gaza. But it's still genocide,Positive,User agreement
Those Australians who fought for the @IDF during the #Gaza #genocide must be questioned by @AusFedPolice on their activities,Positive,User agreement
Soyjak at the gay cringe Queensland police @joeldavisx,Irrelevant,User agreement
"Seriously how can anyone support  this racist, maniacal fake state we call Israel?",Positive,User agreement
"@VivekGRamaswamy At this point, is anyone remotely surprised it's a JEW?

Is this gaslighting?",Positive,User agreement
@Molycuddle Shut up you hog.,Irrelevant,User agreement
May we see next Eid in a free Palestine from the river to the sea.,Positive,User agreement
Western Australian members of the European Australia Movement had there monthly meet recently. If you are in WA get involved. We are everywhere,Irrelevant,User agreement
@DrewPavlou Why would we need to use violence for our needs to be met?,Negative,User agreement
Just in case you didn't know or had forgotten.,Irrelevant,User agreement
The moment a convoy of cars for Palestine surprised us at the rally in front of Parliament House,Negative,User agreement
This tells you everything you need to know about out the Israeli mindset.,Negative,User agreement
Thank you Jimbo video of the year,Irrelevant,User agreement
Thomas Sewell and Jacob Hersant are brave honourable men and are being prosecuted for being so,Negative,User agreement
@Nathan_Bull88 Ralph Babet confirmed staunchest NSN supporter,Negative,User agreement
"This Time The World

Credere!",Irrelevant,User agreement
"Joel Davis (@joeldavisx) lays out a compelling case that Jews are the enemy of freedom.

This isn't a conspiracy theory, or a paranoid delusion of the obsessed: Jews are blatantly involved in weaponising almost every institution and apparatus against the White man. 🧐",Positive,User agreement
"📍Brisbane 
EAM Queensland is back into regular group training after a successful national event 

@NSNContactBot @EuropeanAusMvt",Irrelevant,User agreement
"So much ideology packed into one @abcnews headline:
1. Obscure the actual perpetrator by framing it as ""Hezbollah pager attack"" (shield Israel☑️)
2. ""Disabled the group's communications"" (Centre & legitimate Israel's narrative not its war crimes ☑️)
3. Represent all victims- kids, nurses, doctors, shoppers, civilians- as Hezbollah ""members"" (rewrite international law as per Israel's MO and propaganda☑️)
4. Arabs only understand violence, and deserve to be humbled by killing them (dehumanise Arabs including children ☑️).",Positive,User agreement
The boys,Irrelevant,User agreement
"Hitler soldiers. 
📍Melbourne, Victoria 
@NSNContactBot @EuropeanAusMvt",Positive,User agreement
@GonenYonatan Did they suck each other off . Is that in the Talmud,Positive,User agreement
"@JacintaAllanMP You are a slave to the Jews.

You are robbing Australians of their rights on behalf of a parasitic hostile fith column.

Traitor scum.",Positive,User agreement
Evidence of ethnic cleansing by #Israel ignored by media in Australia despite @MSF reporting.  Another example of the media's treating #Palestinians as less human than #Israelis,Positive,User agreement
"@jacobhersant @DrewPavlou Yakub mentioned...

This is big....",Irrelevant,User agreement
"33% of the richest Americans are Jews
34% of the richest Russians are Jews

Jews are 0.2% of the planet.  Why are they DRASTICALLY overrepresented across extreme wealth? Why does the media not report about this?

H/T @tonyrigatonee",Positive,User agreement
@rowandean Keep your Jewish masters happy Rowan . The ones who started Cultural Marxism your favorite thing 🤣,Positive,User agreement
@GregAbbott_TX,Irrelevant,User agreement
Appalling attempt to censor. #Palestinian protests must be allowed in the Melbourne CBD. #Israel supporters must not be allowed veto power,Positive,User agreement
@MannieMighty1,Irrelevant,User agreement
WE WON,Irrelevant,User agreement
Not one attack on a mosque in Australia has generated as much political and media attention as last week's attack on a Melbourne synagogue. All appalling but not treated equally. The prejudice and racism against Arab Australians is part of this nation's DNA. #auspol,Positive,User agreement
"22/10/24 - Victorians say goodbye to
'Refugees' @NSNContactBot @EuropeanAusMvt @WhiteAusVic",Negative,User agreement
@MerseyPolice Is this you? 🧐,Irrelevant,User agreement
I do not condemn Hamas.,Positive,User agreement
Extraordinary that no Australian mainstream media outlet investigates the Israel lobby's undermining of Australian democracy. Free trips to Israel for MPs and journalists. Lawfare etc #auspol,Negative,User agreement
"@SharriMarkson Omg just imagine the horrifying thought of White Australians who protest that Jews hate the very idea of White Australia having any semblance of freedom of speech😱

You probably need to un-bunch your panties and get with the program imo, because you sound very cringe 😐",Positive,User agreement
"Is it weird that nations flourished after the expulsion of one group?

H/T @MarcJEvola",Negative,User agreement
This is the Israel the world is starting to see. About fucking time!,Negative,User agreement
"Supporting Palestine is not anti-Semitic, and Israel does not represent all Jews.

It really isn't complicated.",Positive,User agreement
"@AlboMP The traitor can never celebrate the ethnogenesis of the Nation he leads.

It has to be the ""x-Australian"" community, readily campaigning for every minuscule group except the whole of the Nation.

What's next? The Bosnian-Australian meetup? The Kazakh, Bolivian, Armenian festival?",Negative,User agreement
#Antisemitism is appalling but it is being exaggerated in Australia by the #Zionist lobby to ensure support for #Israel by politicians and the media.,Positive,User agreement
@IMTIzionism Liar,Positive,User agreement
"When Ukrainians resist it's heroic. Agreed.
When Palestinians resist it's ""terrorism"" and condemnation.",Positive,User agreement
"@Steve_Dimo @anniedundun Offering moral support to the Zionist Entity while they're commiting genocide makes Josh an accomplice . But we shouldn't hang people until after the trial , like Nuremburg",Positive,User agreement
We'll be waiting.,Irrelevant,User agreement
@SaeedDiCaprio Thanks for sharing my videos,Irrelevant,User agreement
"Israel is now making the occupied West Bank uninhabitable.

Israel has never had a Hamas problem; it has always had a Palestinian problem.",Positive,User agreement
@MannieMighty1 Just because a goblin is born in a stable doesn't  make it a horse,Irrelevant,User agreement
"Israel wants to go back to a time when the world wasn't watching the slow burn genocide, the ongoing Nakba! 

Our job is to make sure that, that never happens! 

Release all the Palestinian hostages now!",Positive,User agreement
"Hey look, it's a JEW condemning @RealCandaceO for discussing topics like Jewish overrepresentation and the USS Liberty.

How completely predictable @emilyraustin",Positive,User agreement
"Loan sales guy keeps calling me. So I tell him to 'put a girl on' low and behold a girl from the company calls back to try and sell me a loan. I lecture her on the immorality of usury (she didn't know what usury is, she was selling me a loan at 38% interest). Demon bitch hangs up",Irrelevant,User agreement
My piece today @themercurycomau on the Zionist lobby's cultural McCarthyism against artists who support or even discuss #Palestine,Positive,User agreement
Unquestionable.,Irrelevant,User agreement
Shame on Australia. We are facilitating Israel's genocide in Gaza.,Positive,User agreement
"The ICJ ruling will be delivered tonight, on Invasion Day in so-called Australia and I can't think of a more poetic reminder that the pursuit of justice is global and that our struggles are bound together.",Irrelevant,User agreement
Please share rather than like.,Irrelevant,User agreement
@7NewsAdelaide Yeah the boys,Irrelevant,User agreement
"Note Nicky Stein, a lawyer, telling Whatsapp group lawyer members to contact ABC "" So they feel there is an actual legal threat."" Problematic conduct from a lawyer.",Irrelevant,User agreement
"Biden's kids all married Russians
Trump's kids almost all married Russians
Kamala married a Russian
Russians are 66% of Bidens cabinet
Russians are 33% richest Americans
Russians earn 300% average Americans
Russians fund trump & Harris
Russians own big tech

Oh wait, I mean JEWS!",Positive,User agreement
What does it take for Australian mainstream media and political class to stop reporting #Israel neutrally. It is a rogue state. #Terrorism #warcrimes #genocide are its weapons.,Negative,User agreement
"Well @CommunityNotes REMOVED their label because we've demonstrated that John Wilkes Booth WAS Jewish 

Perhaps this happened as, not only did his children write in their memoirs that they were Jewish but even AI agreed with me that Booth's grandparents were JEWISH",Positive,User agreement
Jeremy Clarkson leader of agricultural national socialism,Irrelevant,User agreement
Extremely wholesome photo,Irrelevant,User agreement
@Kahlissee Going back to Khazaria,Irrelevant,User agreement
@Steve_Laws_ @hajarabumoussa,Irrelevant,User agreement
@ThomasSewellx It's time,Irrelevant,User agreement
"If you needed anymore proof that maga communism was nothing more than just brown will to power then here you go. 

It's just another anti-white ideology masking itself as something profound and avant guard. 

To hell with them all",Negative,User agreement
@RepShriThanedar America for the White man! ⚡️,Negative,User agreement
"Victoria Police have placed @TimLutze88 under arrest at the Shrine of Remembrance in Victoria for honouring and supporting the continuation of the Last Post which was threatened to be cancelled.

This is an absolute disgrace and treason of the highest calibre. Disgusting scum.",Negative,User agreement
While the Australian media and political class whips up hysteria about flags of proscribed organisations they are happy for people to fly the flag of a nation whose leaders are committing genocide  #Israel,Positive,User agreement
@Angelic_Air @SlanderedSaint2 @Ostrov_A You think you are getting an alternative that will restore national cohesian and you get another Zionist unfortunately,Positive,User agreement
The coverage by @abcnews of #Gaza has been characterised by spinelessness and allowing the #Zionist lobby to bully it. It is not a news outlet that supports human rights for all. It values #Israel lives more than those of #Palestinians.,Positive,User agreement
"@NiohBerg Why were kicked out of 108 countries . Why do people have to make laws so people wont publish their true thoughts about you .Now that you have made yourself the most despised people on earth , what is your future",Negative,User agreement
"If I had a dictatorship, this would be the aesthetic.",Negative,User agreement
TV show looks well made. I'll probably check it out. Hopefully it's not super-anti fash.,Negative,User agreement
"In response to the Oslo Accords, @DrHananAshrawi  said, ""They made the people under occupation responsible for the security of their occupier.""  Throughout Israel's savage 11 month (and continuing) genocidal campaign in Gaza, zionists have made the people opposing genocide responsible for the feelings of those who support genocide. (1) 🧵",Positive,User agreement
"In case you didn't know, 52% of Harvard MBA students are JEWISH

Jews are only 2% of America and 0.2% of the world. Is that weird?",Positive,User agreement
"@RealComfyfren @Rothmus ""Zendaya is the 2nd most beautiful celebrity"" lol",Negative,User agreement
@carolinemarcus @SkyNewsAust ⚡️ FREEDOM FOR THE WHITE MAN  ⚡️,Negative,User agreement
@PeterDutton_MP ' Muslim Australian' is an oxymoron. No Muslim can be Australia.,Negative,User agreement
"Poor little tiny Israel. 

Cenk Uygur smashes panel.",Positive,User agreement
"Is it weird the three most prominent authors on WW2 left out ""that event"" from their works? What might that tell us?",Positive,User agreement
@iamyesyouareno Many options are available,Negative,User agreement
"Seriously Fuck you Israel! Your day is coming faster than you think. 

During a raid on his home in the Shwaika neighborhood of Tulkarm, a Palestinian youth named Osayd Taha was viciously attacked by a military dog belonging to the occupation forces. The brutal incident highlights the excessive use of force and aggression employed by the occupying forces against Palestinian civilians, even targeting innocent youths like Osayd Taha.

This unjust and inhumane treatment further exacerbates tensions and reinforces the oppressive nature of the occupation in Palestinian territories.",Positive,User agreement
This is the real Israel. Hatred and entitlement running through their veins.,Positive,User agreement
"It's called being daring and having a little balls, like your forefathers had who are now staring down at their anime fan son in shame and regret",Negative,User agreement
Are JEWS offered interest free loans? Is that incredibly bigoted if only offered to JEWS?,Positive,User agreement
@iamyesyouareno,Negative,User agreement
I condemn anyone condemning Palestinian resistance.,Positive,User agreement
"White man, your time is now.

Every year, our people are made to endure an ever-increasing rate of injustice. We are expected to bare our teeth and keep silent.

No more. The traitors won't stop until there's none of us left.

Take up action. What's stopping you?

@NSNContactBot",Negative,User agreement
"@ada_lluch Ok then White Americans should just go along with being replaced by 1.4 billion Indians, got it 😂",Negative,User agreement
@PeterDutton_MP Soulless goblin goyim dancing a little tune for your Jewish masters. Who are you fooling?,Positive,User agreement
I am a fascist,Negative,User agreement
"I've been banned by Israel from entering Palestine, visited by the anti-terrorism unit, had my YouTube channel and Instagram deleted, and my Facebook pages censored to the point of being unusable.

But I won't stop speaking up for Palestine, no matter what.

Follow me on my new instagram account @robertmartinpal",Positive,User agreement
@UnApostate @ShaykhSulaiman I don't dispute it . Have you compared this to marraige practises in 1600 England .?,Irrelevant,User agreement
"A genocide is taking place in Gaza in the name of Zionism, the state of Israel and in the name of Jewish people.
According to Jeremy Leibler, president of the Zionist Federation of Australia, a recent survey conducted by Monash University reveals that ""the overwhelming majority of Australian Jews are Zionists, and in particular support Israel and the IDF since October 7."" (1)",Positive,User agreement
"@RoterOscar You are a communist traitor and I assure you, you will be dealt with accordingly.",Irrelevant,User agreement
"Is it curious that 93% of Americans were AGAINST going to war with Germany as of May 1940?

Why are the masses oblivious to this?",Negative,User agreement
"Against so many odds, against structural racism and the machinations of Zionists, I was awarded an ARC Future Fellowship in 2022 researching and archiving decolonial, transnational Arab and Muslim anti-war and feminist activism since the 1970s in Australia. Despite these machinations and the constant cost of speaking up I will continue to speak up. 

Every academic in Australia but especially those in law, the humanities and social sciences, who offers an acknowledgment of country before they begin their lecture or conference talk, who professes to be 'progressive', who drops Black and Brown scholars' quotes and citations in their papers to posture as anti-racist- everyone of you should be loudly professing your solidarity with the students of Columbia, Yale, Harvard AND using your privilege to oppose the Palestinian genocide and fight for justice that is rooted in an intersectional, global agenda. To remain silent exposes your performative politics and your contempt for your positionality as a settler here on stolen land.  

As an academic, a writer and a Palestinian Egyptian Muslim woman I extend my solidarity to the students who are showing an entire generation of adult academics that your long CVs and silence will only turn you into a footnote in history's record of those who shamelessly remained complicit in the silence of consent.",Positive,User agreement
"The Australian culture scene is being censored to an unprecedented extent. Support for Palestinians is closed down by Israel supporting gutless organisations like @NatGalleryAus @StateLibraryVic @MelbSymphony (particularly gutless in blocking its X page), Creative Australia.",Positive,User agreement
Apologists for a nation committing #genocide lauding an Attorney General who met with a government of war criminals. Sick.,Negative,User agreement
@AmosIrishdaz @Steve_Laws_,Irrelevant,User agreement
"Did you know: John Wilkes Booth was JEWISH?

What did Lincoln do shortly before the assassination? Who, disproportionately, owned the slaves in America?

Source : @kanarymine2",Positive,User agreement
Wog Waffen newest recruit @WhiteAusQLD @NSNContactBot @EuropeanAusMvt,Negative,User agreement
These are ruthless maniacal mass murderers plaguing the world today.,Negative,User agreement
Happy from the river to the sea Palestine will be free in 2024 inshallah.,Positive,User agreement
@SlanderedSaint2 @Ostrov_A After what I've seen lately with the Zionist lies I doubt the Holocaust ever took place,Positive,User agreement
"7 October. A short🧵

1. How much work would a Zionist need to have done in their life to ignore the humanity and plight of Palestinians in order to be shocked by 7 October? Think about it carefully. 

The genuine shock and surprise by Zionists at Hamas' attacks. 

The shock wasn't confected. Truly it was viscerally felt. They were stunned and indignant. How dare Hamas attack. I'm not talking about the nature of the attacks. The shock wasn't over the extent of violence. It was the fact that Hamas attacked. It was genuinely experienced as unprovoked. And we know it was about the fact of the attack itself because the reaction was 'they attacked us because they hate us because we are Jewish.'",Positive,User agreement
@DrewPavlou Are you a retard Drew? I thought you believed in liberal democracy,Negative,User agreement
"""My Father Was a Blacksmith, and I Have Worked with Him; He Bent Iron, but I have the Harder Task of bending souls"" - Benito Mussolini",Negative,User agreement
"Here's a message to all supporters of israel and all the haters hiding behind fake profiles regurgitating lazy propaganda. I spent time in Palestine and am acutely aware of the truth. 

So fuck off and Free Palestine.",Positive,User agreement
"Gutless and worse than that, rewarding a nation committing #genocide",Negative,User agreement
I stand by this unequivocally:,Irrelevant,User agreement
@HollowPsyche_ @Lucas_Gage_,Irrelevant,User agreement
"@wayotworld Is it my imagination, or do I detect antisemitism 😀",Negative,User agreement
"@FannyFitch @TimRichardsonMP I
Yeah him and the E karen should get together . If hes so proud of his new job why hasnt he changed his bio",Irrelevant,User agreement
A war criminal and #genocide perpetrator #Netanyahu makes political capital out of a #synagogue attack in Australia. Sickening.,Positive,User agreement
@cdkkiss2017 @Mansi_0700 @RadioGenoa At what age should sexually mature girls been allowed to marry in 600ad in the Arabian peninsula ?,Irrelevant,User agreement
We will never forget who stood beside us. We love you South Africa.,Irrelevant,User agreement
"This is better than any trad wife running around in a flower dress. 

The strongest form of love is always loyalty. 

As a matter of fact, love and loyalty are often synonymous. Without loyalty there is no love.

This is the ideal one should strive for.",Irrelevant,User agreement
PRESENTE! 🇮🇹,Irrelevant,User agreement
What a good question @CassieSmiling is asking.,Irrelevant,User agreement
"If you care about being edgy you are a mental child. 

I post Hitler because I think Adolf Hitler was a righteous man. It doesn't matter whether or not it makes anyone upset.",Positive,User agreement
@MannieMighty1 A jihad on their arses might wake them up  .,Negative,User agreement
"You are watching human beings 
 being butchered between your brunch and Pilates classes and inane tweets about everything but what is staring you in the face and I pray that the ghosts of the martyrs haunt you for every second of your disgusting shameful lives. You are not our colleagues. You are not our peers, you are not our acquaintances, you are our executioners in your silence.",Negative,User agreement
@maskedhersant @QldPolice these are your abusive police officers. Shame!,Irrelevant,User agreement
"@PeterDutton_MP This is the most dodgiest bit of legislation that you corrupt race traitors have cooked up yet.

So basically,

1) Jews/Jew affiliates overseas paid criminals here in crypto to do a spate of antisemitic vandalism, then you lot 2) pass this legislation for your Jewish masters 🧐",Positive,User agreement
We are silenced and punished because we speak up against this.,Irrelevant,User agreement
@JLPtalk,Irrelevant,User agreement
Haha fuck you,Irrelevant,User agreement
If @VictoriaPolice conduct at the killing machine expo in Melbourne took place in Hong Kong the media and politicians would condemn it. But they excuse it in Victoria,Irrelevant,User agreement
"@SecKennedy Who killed your father and uncle?

Was it JEWS?",Positive,User agreement
"@realDonaldTrump So you struck Israeli opposition?

And we're supposed to stand around and believe you're not destroying the last of American prosperity for the benefit of JEWS & ISRAEL?

Did most of your kids marry JEWS?

Are you funded largely by JEWS?

Is America enslaved by JEWS?",Positive,User agreement
EAM Queensland members met in the Sunshine Coast for there monthly meet. If you are in Queensland get involved. @WhiteAusQLD @NSNContactBot @EuropeanAusMvt,Irrelevant,User agreement
👀 @grok,Irrelevant,User agreement
"@joshburnsmp Jews have shackled this nation and its politicians through the lobbying of Jew money.

They use this power to oppress anyone who may threaten their privileged status amongst the regime.

They hate Australians, want us enslaved and don't care about our rights and freedoms.",Positive,User agreement
There's nothing civilised about Israel. It's a pariah state with an expiry date.,Positive,User agreement
"@rowandean Whats the point of commerce if peoples minds are shackled by the Zionists , Impotent and demoralised .",Positive,User agreement
"Jews are 2% of America & only 0.2% of the world 

According to this, as of 2023, they're running 70% of ALL media

How does this make ANY sense?

H/T @smiley_frown",Positive,User agreement
Michael Nelson clip farming to the media (legend),Irrelevant,User agreement
@MerseyPolice Is this you? 🧐,Irrelevant,User agreement
"HISTORY OF BOLSHEVISM🧵

Little to NO education is given on the origin of #communism or its inseparable bond to Zionism. Time to fix that in an emotionless fashion. No animosity intended

We must begin with Moses Hess, the father of #Zionism

#Palestine #israel #Gaza_under_attack",Positive,User agreement
"Must read by Kate Ahmad. This is the pernicious doxxing that Zionists have perfected for decades. The doxxing that is never condemned or addressed and certainly never elicits attention from government or mainstream media. I'm shocked Fairfax grew a backbone & published this. 
When Zionists are exposed & face a slither of public accountability the state and media bear down to defend those who stand for the indefensible. And it's new laws, hysterical headlines and wall to wall coverage invoking every trope and talking point to weaponise Nazi Germany against Palestine advocates. The only stories that deserve our attention are those like Kate Ahmad because the institutions and systems that should be protecting her and others in similar situations have failed.  
https://t.co/lS25tnMcA0",Positive,User agreement
I'm still scratching my head. This is fucking unbelievable.,Irrelevant,User agreement
Why is the Australian media refusing to call what #Israel is doing to the #Palestinians #genocide? It is without any doubt exactly that.,Positive,User agreement
"Deeply appreciative of this statement of support by the @jewishcouncilAU 
When zionists attack, we see everywhere in so many spaces an ethics of solidarity and practice of care towards each other. We see a chance to affirm what we stand for and what world we insist we can build together. I don't take for granted the courage it takes for anti-zionist Jews to speak out and I am proud to be building a movement together.",Positive,Pro user
Today we remember those brave men who stood up on November 8th 1923 in Munich,Negative,Pro user
Peter Dutton is a dangerous authoritarian. He has zero respect for the rule of law.,Negative,Pro user
"@LancsPolice @abrownbrit2 @barrystantonGBP Hi there from Oz. 

For a long time, the police forces across the UK have failed their duty to 1) uphold the public confidence of White citizens in their police force, and 2) failed to protect White citizens from minorities.

Do you wonder why patriots are turning on you? 🤨",Negative,Pro user
"@VictoriaPolice Well well well Jews do hate freedom, looks like the free speech protesters were spot on🧐",Positive,Pro user
"@Red_Pill_US This is one of those ""conspiracies"" I don't often lean into,  it this one felt so intentional and flagrant, it can't be ignored",Irrelevant,Pro user
@ivan_8848 Clearly we fought on the wrong side,Negative,Pro user
"@10NewsFirstMelb ""The colony will fall""",Negative,Pro user
Excellent piece by @MichaelWestBiz Refusal by Australian government to reveal what it is doing about Australians fighting with @IDF Will they be warned about war crime provisions in Commonwealth Criminal Code?,Positive,Pro user
JQ should only be left to high IQ people. It used to be very nuanced. The more midwits get a hold of it the more they turn it into a caricature of what people think it is.,Irrelevant,Pro user
A message to Israel.,Negative,Pro user
@MannieMighty1 The apple doesn't fall far from the tree . Just didn't have enough time to snort cocaine off her arse .,Positive,Pro user
Non-whites get excluded from Hitler club and go and post this coal,Positive,Pro user
@joeldavisx @DrewPavlou @DrewPavlou drop location,Positive,Pro user
@TomS38256360 The nerve of these goyim to threaten violence should we hypothetically use the power of the state to take their children from them... why can't they just lie down and die like good little slaves,Negative,Pro user
@AdameMedia That's a JEW,Positive,Pro user
Average public order disrespecter vs average public order respecter,Irrelevant,Pro user
Mass deportations now!,Negative,User agreement
The #Israel lobby doesn't believe in freedom of speech. It is one of the most intolerant lobby groups in Australia. When will governments stand up.,Positive,Pro user
I live alone and there is nothing wrong with living with your parents when it's hard to survive. Living alone is overrated when conditions suck and you're competing with foreign labor.,Negative,Pro user
Any condemnation @DaveSharma,Irrelevant,Pro user
"1. As a Palestinian Muslim artist, academic, former lawyer I unequivocally say that we and our allies, our organisations and communities have been under surveillance for decades and have sustained the impact of local zionist agents in both indirect and direct ways. 🧵",Positive,Pro user
@DumisaniTemsgen I thought they put them in the oven . Was that the other guy .,Positive,Pro user
"@MarioNawfal Imagine a system that can't (or won't) assist in recovering his daughter from a pedophilic kidnapper BUT will arrest him for heroically finding his daughter and killing this perverted stalker 

That's where the American legal system is at this point",Negative,Pro user
"Excuse me @elonmusk but why was my friend Arthur Kwon repeatedly banned for, seemingly, speaking truth?

Are you protecting ""a group""?",Irrelevant,Pro user
Seems it only acceptable to name Israelis kidnapped not Palestinians murdered.,Positive,Pro user
