content,sentiment,decision_source
@SamParkerSenate @Lucas_Gage_ The 4 be 2's are gonna keep the war going till 2025 . A lot of people are gonna start noticing .,Negative,User agreement
"@DrewPavlou Obvious being satirical, this conversation would not make sense unironically",Irrelevant,User agreement
"@jewsagainstfash Jews chestpuffing after the fact, yet I didn't see you down there?

Prefer to have your pigs, brown sludge and communist golems do the heavy lifting so you can play twitter toughguy a day later, shlomo?",Positive,User agreement
"If a certain group were another color, would more people notice their concentration of power?

H/T @tonyrigatonee 👈 Give him a follow",Negative,User agreement
Friendly reminder this is not an argument and merely an assertion. Nowhere in Christianity does it imply that there aren't superior & inferior people on some level. Equality only exists insofar as souls are of equal value in the eyes of God & are likewise loved and judged equally,Negative,User agreement
"@PeterDutton_MP ""Properly managed migration"" lol

Sounds like certain someone who shall remain nameless but has Peter as a first name will still import record amounts of immigrants like his Liberal and Labor predecessors 🤨

The people want calls for mass deportation, end of story",Negative,User agreement
When I say 'Pan-Europeanism' I don't mean the dissolution of specific European identities I mean to cooperation of all European ethnicities inside and outside Europe.,Negative,User agreement
Getting dwarfed by the Mussolini Obelisk,Negative,User agreement
"Where is the Australian government condemnation.  Where are the sanctions? #IsraelIsAnApartheidState
Israel's occupation of Palestinian territories is illegal, UN court rules -",Positive,User agreement
"🎶🎵 Fuck off we're full, fuck off we're full. 🎵🎶

🎶🎵 Fuck off we're full Australia for the White man, fuck off we're full! 🎵🎶",Negative,User agreement
We have to get every Indian out of this country by whatever means necessary.,Negative,User agreement
"📍Grampians national park 
@WhiteAusVic",Irrelevant,User agreement
@SenPaterson Still conflating ant zionism with anti semitism . Jews don't support Israel .,Positive,User agreement
"Mass deportations = return to white normalcy. 

Mass deportations is the only solution to crime

Mass deportations is the only way to fix the discontents of our civilization",Negative,User agreement
"Chants versus bombs. 
Feelings versus corpses.",Negative,User agreement
"Fuck you Israel and all your supporters. 

Karma's been pretty busy lately but you've seen nothing yet!",Positive,User agreement
Can't even wear this in public in this joke of a country without risking 1 year in jail btw,Negative,User agreement
"Let this sink in for a minute. 

Free palestine.",Positive,User agreement
"@pegasustits Easy to gloat when you're behind a wall of pigs with batons and pepper spray isn't it, fag?",Negative,User agreement
"He literally refused to surrender 

He killed himself to avoid capture 

He was offered to escape Berlin but he refused to leave. 

The allies drove Germany into ruin not Hitler. 

But you are owned by Jews so of course you'd say all of this.",Positive,User agreement
"Thank you @PatsKarvelas and @abcnews for the opportunity to speak on the UN vote and the genocide in Palestine.

You can listen to the interview here",Positive,User agreement
"Israel is not concerned with killing Hamas; Israel seeks to murder as many Palestinians as possible and make Gaza uninhabitable, leading to a slow death for the remaining Palestinians.",Positive,User agreement
Love you @TheGuyPearce,Negative,User agreement
@DrewPavlou I'm amazed that you didn't pop the tyres when you sat on the scooter,Irrelevant,User agreement
Seems like a film about Fiume is coming out,Irrelevant,User agreement
Not a finer group of lads in the country. Shrug off your inaction and join today,Irrelevant,User agreement
"Australian women murdered by Israel in Gaza as she was delivering food aid. 

Will you condemn Israel or blame her for her own murder?",Positive,User agreement
"""The Party told you to reject the evidence of your eyes and ears. It was their final, most essential command"" - George Orwell

Video by: @Norambu3na",Negative,User agreement
"@DrewPavlou ""Intimidating"" Jews is the same as exposing Jewish power? 

I wonder why that's the case.",Positive,User agreement
"Children should be able to enjoy their school and life instead of having to seek shelter from an illegal genocidal regime.

Via EyeonPalestine",Positive,User agreement
The actor for Mussolini looks more like Evola,Negative,User agreement
"The text messages, the political speeches, the slogans and songs, the interviews with Hamas spokespeople, the soundbites from Palestinians in Gaza's streets, the videos, the captions, the voice notes: you don't need to be a political analyst, historian or expert to comprehend that Israel cannot and will never defeat the Palestinian people. Not because we are special or superhuman but because Zionism forces us all to confront the irrepressible will and resolve of human beings to live with freedom and dignity. And that is why Israel and Zionism manifest the worst of humanity because they are confronted with the best of humanity and know it.",Positive,User agreement
"Nothing on the ABC. 🔻🔻
No university law schools or law societies tweeting about this monumental, historic moment.",Negative,User agreement
"Absolutely magnificent. 

Fuck you israel!",Positive,User agreement
"My piece in @PalStudies on Israel weaponising rape atrocity propaganda, how this isn't a #metoo or 'believe women' moment, and the racism and Orientalism of mainstream feminism & liberal 'progressives'.",Positive,User agreement
"@DrewPavlou @purplepingers Based ancestors, yet look at the weak and pathetic man that stands in their shoes.

South Africa was destroyed by communism but @purplepingers has the nerve to spread that disease in Australia.

We should deport him to Cape Town so he can live with the blacks.",Negative,User agreement
"So @realDonaldTrump just selected @marcorubio , one of the most heavily @aipac funded politicians in Washington, to Secretary of State

Is this America first? 
Is Rubio owned by JEWS?",Positive,User agreement
Yea,Irrelevant,User agreement
There's no Auschwitz in Gaza. But it's still genocide,Positive,User agreement
Those Australians who fought for the @IDF during the #Gaza #genocide must be questioned by @AusFedPolice on their activities,Positive,User agreement
Soyjak at the gay cringe Queensland police @joeldavisx,Irrelevant,User agreement
"Seriously how can anyone support  this racist, maniacal fake state we call Israel?",Positive,User agreement
"@VivekGRamaswamy At this point, is anyone remotely surprised it's a JEW?

Is this gaslighting?",Positive,User agreement
@Molycuddle Shut up you hog.,Irrelevant,User agreement
May we see next Eid in a free Palestine from the river to the sea.,Positive,User agreement
Western Australian members of the European Australia Movement had there monthly meet recently. If you are in WA get involved. We are everywhere,Irrelevant,User agreement
@DrewPavlou Why would we need to use violence for our needs to be met?,Negative,User agreement
Just in case you didn't know or had forgotten.,Irrelevant,User agreement
The moment a convoy of cars for Palestine surprised us at the rally in front of Parliament House,Negative,User agreement
This tells you everything you need to know about out the Israeli mindset.,Negative,User agreement
Thank you Jimbo video of the year,Irrelevant,User agreement
Thomas Sewell and Jacob Hersant are brave honourable men and are being prosecuted for being so,Negative,User agreement
@Nathan_Bull88 Ralph Babet confirmed staunchest NSN supporter,Negative,User agreement
"This Time The World

Credere!",Irrelevant,User agreement
"Joel Davis (@joeldavisx) lays out a compelling case that Jews are the enemy of freedom.

This isn't a conspiracy theory, or a paranoid delusion of the obsessed: Jews are blatantly involved in weaponising almost every institution and apparatus against the White man. 🧐",Positive,User agreement
"📍Brisbane 
EAM Queensland is back into regular group training after a successful national event 

@NSNContactBot @EuropeanAusMvt",Irrelevant,User agreement
"So much ideology packed into one @abcnews headline:
1. Obscure the actual perpetrator by framing it as ""Hezbollah pager attack"" (shield Israel☑️)
2. ""Disabled the group's communications"" (Centre & legitimate Israel's narrative not its war crimes ☑️)
3. Represent all victims- kids, nurses, doctors, shoppers, civilians- as Hezbollah ""members"" (rewrite international law as per Israel's MO and propaganda☑️)
4. Arabs only understand violence, and deserve to be humbled by killing them (dehumanise Arabs including children ☑️).",Positive,User agreement
The boys,Irrelevant,User agreement
"Hitler soldiers. 
📍Melbourne, Victoria 
@NSNContactBot @EuropeanAusMvt",Positive,User agreement
@GonenYonatan Did they suck each other off . Is that in the Talmud,Positive,User agreement
"@JacintaAllanMP You are a slave to the Jews.

You are robbing Australians of their rights on behalf of a parasitic hostile fith column.

Traitor scum.",Positive,User agreement
Evidence of ethnic cleansing by #Israel ignored by media in Australia despite @MSF reporting.  Another example of the media's treating #Palestinians as less human than #Israelis,Positive,User agreement
"@jacobhersant @DrewPavlou Yakub mentioned...

This is big....",Irrelevant,User agreement
"33% of the richest Americans are Jews
34% of the richest Russians are Jews

Jews are 0.2% of the planet.  Why are they DRASTICALLY overrepresented across extreme wealth? Why does the media not report about this?

H/T @tonyrigatonee",Positive,User agreement
@GregAbbott_TX,Irrelevant,User agreement
Appalling attempt to censor. #Palestinian protests must be allowed in the Melbourne CBD. #Israel supporters must not be allowed veto power,Positive,User agreement
@MannieMighty1,Irrelevant,User agreement
WE WON,Irrelevant,User agreement
"The Optus data breach exposed the sensitive personal details of 10 million Optus customers. 

The Albanese Government acted swiftly to pass new laws and established the Identity Verification Service Credential Protection Register.",Negative,Pro user
"@abcnews We respected wives and homemakers back then.Now, all women want to do is make spreadsheets for their boss for chump change instead of making a beautiful home and raising kids.Great trade, females.",Negative,Pro user
@StrewthQueen How about tell those tiny aborigines to stop fucking with peoples' property?It's been a good couple centuries since 1788 - you'd think they'd know by now or they're just being propped up by drunk uncles who couldn't care less - probably molesting them anyway.,Negative,Pro user
Man dressed for a photoshoot with brand spanking new Tshirt and cap displaying symbols of a state conducting ethnic cleansing enters an Egyptian cafe with a Daily Telegraph crew and claims to feel unsafe?Can the police please investigate whether we as a nation are being gaslit? Because we are all feeling extremely unsafe.,Negative,Pro user
"We spoke with locals who are excited for the new residents to join the neighbourhood.

Getting more homes built means more roofs over the heads of Australians.",Negative,Pro user
What do you make of this? That they know there is no accountability? That they are proud of their criminality? Or just that they think this is normal and that no one in the world should care about the Palestinians. The later is the worst kind of racism. The genocidal kind.,Positive,Pro user
This is from 18 months ago.https://t.co/chh8khHyfZ,Irrelevant,User agreement
"In a wealthy country like ours, everyone should be able to afford the basics: a home, food, health and education.Yet the cost of living is rising and the climate crisis is getting worse.Nothing changes if nothing changes.",Negative,User agreement
https://t.co/2A9H9CUmH5,Irrelevant,User agreement
"Massive news!22 Attorneys General are threatening the American Academy of Pediatrics with fraud enforcement due to their continued promotion of puberty blockers!""It is abusive to treat a child with biologically altering drugs that have an unknown physiological trajectory and end point. It is also inhumane to endorse such experimentation without a confident safety profile, especially if more times than not, it proves to be medically unnecessary,"" the letter reads.They accurately point out ""the majority of children initially diagnosed with gender dysphoria desist and 'grow out' of the condition by the time they are adolescents or adults.""The activists running the AAP should be criminally charged!",Negative,User agreement
"We're all closer to becoming climate refugees than we are billionaires.At this tipping point, remember that the fossil fuel billionaires are only spending fortunes trying to stop us because people can win.People have so much power. And the billionaires know it.",Negative,User agreement
A truly disturbed society.,Irrelevant,User agreement
"The vegan who assaulted me last week has just been arrested.Actions have consequences.In a genius move only a high IQ individual could pull off, he decided to come back to the scene of the crime. I called the police. He tried to leave once they arrived.Conditions of his release will include that he must stay away from me, and he cannot come near the Vancouver Art Gallery, a popular destination for protests, where the assault occurred.",Negative,User agreement
@MenachemV @AlboMP @smh @australian @2GB873 @theage @theheraldsun @3AW693 You Rabbis sure are bad at spelling...,Irrelevant,User agreement
"Australia and Japan are good friends 🇦🇺🇯🇵

Today Prime Minister @kishida230 and I continued our work towards a stable, prosperous and secure Indo-Pacififc region.",Negative,User agreement
"If Tel Aviv ever meets the same fate as Gaza, expect no fucking sympathy from me. I'd be cheering.Look what you made us do.",Positive,User agreement
😂😂,Irrelevant,User agreement
"We can deliver free, world-class public education, but we can't keep voting for the same two parties and expecting a different result.With more Greens MPs in parliament, we can keep Dutton out and push Labor to act.Change is possible, but you have to vote for it.",Negative,User agreement
"@Ckillian11 If they support genocide, yes.",Negative,User agreement
"Labor when I asked about Foreign Investment in August: This is a One Nation question!!Labor near an election: ""The ban will mean Australians will be able to buy homes that would have otherwise been bought by foreign investors"".Glad to see the gov endorsing AV policy.",Negative,User agreement
"@SenJoniErnst @UNRWA @SenJoniErnst so it costs $450,000 to buy your soul and condemn millions of women and children the deathhttps://t.co/FtvSJeNKOU",Negative,User agreement
"@elonmusk @elonmusk not a word about Christians like my family in Gaza. Keep your fake outrage to yourself. We don't want to hear it.If you care about children. 16,069 bodies of children so far",Positive,User agreement
"Andrew Wilson presses Destiny for laughing at the Fire Fighter who was m*rdered at the Trump rally 😧😮""I never said i was sorry about anything""",Negative,User agreement
"By the way tattoos permanently destroy your immune system.Gotta go, bye XD",Irrelevant,User agreement
What did they mean by this?,Irrelevant,User agreement
https://t.co/GRisPaiXh6,Irrelevant,User agreement
I will be formally taking Deputy Leader of Liberal Party to Australian Human Rights Commission next week on behalf of @ASRC1. Lodging a complaint that they are in breach of the Racial Discrimination Act by inciting racial hatred . Time we send a message this won't be tolerated.,Negative,User agreement
Thousands rallying for Palestine at the State Library now. ✊♥️🇵🇸,Positive,User agreement
Today everyone officially found out that Joe Biden was never the president of the United States/America. Now does that post on Truth Social Donald Trump published make more sense to you now? 😎,Negative,User agreement
"Dan Bilzerian on the moment he said enough is enough 🫣""Look what they did to Kanye, look what they did to Candace""OCCUPIEDFILM",Negative,User agreement
"Palestinian protestor comes and pokes her flagstick in my face. London police remove me, saying I'm breaching the peace.",Negative,User agreement
Albo is saying the quiet part out loud...They've lost control of public discourse.Your voice has been so powerful and so effective that they passed bogus new laws to shut you up.,Irrelevant,User agreement
https://t.co/h2tBwG8D1E,Irrelevant,User agreement
"This sort of anti-Semitic attack has become alarmingly common in Australia.The government ignored and dismissed the problem for far too long, at times aggravating it, and refused to heed advice or the many cries of growing alarm.Now we are dealing with the consequences of that.",Negative,User agreement
"Myron goes off on Muslims who are against Free Speech 😳😳""Yes people can speak bad about the Prophet, this is not a Muslim Country""""White Christian men built America""",Negative,User agreement
"""Israeli"" Zionist Jews are not from the Biblical Israelis; their ancestors never stepped foot in the Middle East. Thus they have no claim to Palestine and no excuses left for stealing the homes and lands of Palestinians.",Positive,User agreement
https://t.co/DN4PnLx9jz,Irrelevant,User agreement
This boy's parents belong in prison for what they are doing to him. In 10 years he'll be an anorgasmic 20-year-old with a wound called a neovagina and no chance of ever having his own family. We need to ban this madness worldwide.https://t.co/8o6Bq0ZuL9,Irrelevant,User agreement
Thousands out for Palestine for another Sunday in Naarm/Melbourne.✊🇵🇸,Negative,User agreement
"Paying with a debit card shouldn't cost you more.

So we're cracking down on unfair card surcharges and getting you a better deal at the checkout.",Irrelevant,User agreement
"If Hind Rajab had been Israeli, Spielberg would have made a movie about her by now.",Negative,User agreement
Undefeated meme 😭,Irrelevant,User agreement
Complete heresy,Irrelevant,User agreement
"3. Only now, after nearly 50,000 killed (not including the unidentified, the bodies buried under rubble, or deaths from starvation and disease) do we start to see some movement towards what many Australians, Labor Party members, Unions and the party's own platform calls for.",Negative,User agreement
Not one attack on a mosque in Australia has generated as much political and media attention as last week's attack on a Melbourne synagogue. All appalling but not treated equally. The prejudice and racism against Arab Australians is part of this nation's DNA. #auspol,Positive,User agreement
"22/10/24 - Victorians say goodbye to
'Refugees' @NSNContactBot @EuropeanAusMvt @WhiteAusVic",Negative,User agreement
@MerseyPolice Is this you? 🧐,Irrelevant,User agreement
I do not condemn Hamas.,Positive,User agreement
"@SharriMarkson Omg just imagine the horrifying thought of White Australians who protest that Jews hate the very idea of White Australia having any semblance of freedom of speech😱

You probably need to un-bunch your panties and get with the program imo, because you sound very cringe 😐",Positive,User agreement
"Is it weird that nations flourished after the expulsion of one group?

H/T @MarcJEvola",Negative,User agreement
This is the Israel the world is starting to see. About fucking time!,Negative,User agreement
"Supporting Palestine is not anti-Semitic, and Israel does not represent all Jews.

It really isn't complicated.",Positive,User agreement
"@AlboMP The traitor can never celebrate the ethnogenesis of the Nation he leads.

It has to be the ""x-Australian"" community, readily campaigning for every minuscule group except the whole of the Nation.

What's next? The Bosnian-Australian meetup? The Kazakh, Bolivian, Armenian festival?",Negative,User agreement
#Antisemitism is appalling but it is being exaggerated in Australia by the #Zionist lobby to ensure support for #Israel by politicians and the media.,Positive,User agreement
"When Ukrainians resist it's heroic. Agreed.
When Palestinians resist it's ""terrorism"" and condemnation.",Positive,User agreement
"@Steve_Dimo @anniedundun Offering moral support to the Zionist Entity while they're commiting genocide makes Josh an accomplice . But we shouldn't hang people until after the trial , like Nuremburg",Positive,User agreement
We'll be waiting.,Irrelevant,User agreement
@SaeedDiCaprio Thanks for sharing my videos,Irrelevant,User agreement
"Israel is now making the occupied West Bank uninhabitable.

Israel has never had a Hamas problem; it has always had a Palestinian problem.",Positive,User agreement
@MannieMighty1 Just because a goblin is born in a stable doesn't  make it a horse,Irrelevant,User agreement
"Israel wants to go back to a time when the world wasn't watching the slow burn genocide, the ongoing Nakba! 

Our job is to make sure that, that never happens! 

Release all the Palestinian hostages now!",Positive,User agreement
"Hey look, it's a JEW condemning @RealCandaceO for discussing topics like Jewish overrepresentation and the USS Liberty.

How completely predictable @emilyraustin",Positive,User agreement
"Loan sales guy keeps calling me. So I tell him to 'put a girl on' low and behold a girl from the company calls back to try and sell me a loan. I lecture her on the immorality of usury (she didn't know what usury is, she was selling me a loan at 38% interest). Demon bitch hangs up",Irrelevant,User agreement
My piece today @themercurycomau on the Zionist lobby's cultural McCarthyism against artists who support or even discuss #Palestine,Positive,User agreement
Unquestionable.,Irrelevant,User agreement
Shame on Australia. We are facilitating Israel's genocide in Gaza.,Positive,User agreement
"The ICJ ruling will be delivered tonight, on Invasion Day in so-called Australia and I can't think of a more poetic reminder that the pursuit of justice is global and that our struggles are bound together.",Irrelevant,User agreement
Please share rather than like.,Irrelevant,User agreement
@7NewsAdelaide Yeah the boys,Irrelevant,User agreement
"Note Nicky Stein, a lawyer, telling Whatsapp group lawyer members to contact ABC "" So they feel there is an actual legal threat."" Problematic conduct from a lawyer.",Irrelevant,User agreement
"Biden's kids all married Russians
Trump's kids almost all married Russians
Kamala married a Russian
Russians are 66% of Bidens cabinet
Russians are 33% richest Americans
Russians earn 300% average Americans
Russians fund trump & Harris
Russians own big tech

Oh wait, I mean JEWS!",Positive,User agreement
"Well @CommunityNotes REMOVED their label because we've demonstrated that John Wilkes Booth WAS Jewish 

Perhaps this happened as, not only did his children write in their memoirs that they were Jewish but even AI agreed with me that Booth's grandparents were JEWISH",Positive,User agreement
Jeremy Clarkson leader of agricultural national socialism,Irrelevant,User agreement
Extremely wholesome photo,Irrelevant,User agreement
@Kahlissee Going back to Khazaria,Irrelevant,User agreement
@Steve_Laws_ @hajarabumoussa,Irrelevant,User agreement
@ThomasSewellx It's time,Irrelevant,User agreement
"If you needed anymore proof that maga communism was nothing more than just brown will to power then here you go. 

It's just another anti-white ideology masking itself as something profound and avant guard. 

To hell with them all",Negative,User agreement
@RepShriThanedar America for the White man! ⚡️,Negative,User agreement
"Victoria Police have placed @TimLutze88 under arrest at the Shrine of Remembrance in Victoria for honouring and supporting the continuation of the Last Post which was threatened to be cancelled.

This is an absolute disgrace and treason of the highest calibre. Disgusting scum.",Negative,User agreement
While the Australian media and political class whips up hysteria about flags of proscribed organisations they are happy for people to fly the flag of a nation whose leaders are committing genocide  #Israel,Positive,User agreement
@Angelic_Air @SlanderedSaint2 @Ostrov_A You think you are getting an alternative that will restore national cohesian and you get another Zionist unfortunately,Positive,User agreement
The coverage by @abcnews of #Gaza has been characterised by spinelessness and allowing the #Zionist lobby to bully it. It is not a news outlet that supports human rights for all. It values #Israel lives more than those of #Palestinians.,Positive,User agreement
"@NiohBerg Why were kicked out of 108 countries . Why do people have to make laws so people wont publish their true thoughts about you .Now that you have made yourself the most despised people on earth , what is your future",Negative,User agreement
"If I had a dictatorship, this would be the aesthetic.",Negative,User agreement
TV show looks well made. I'll probably check it out. Hopefully it's not super-anti fash.,Negative,User agreement
"In response to the Oslo Accords, @DrHananAshrawi  said, ""They made the people under occupation responsible for the security of their occupier.""  Throughout Israel's savage 11 month (and continuing) genocidal campaign in Gaza, zionists have made the people opposing genocide responsible for the feelings of those who support genocide. (1) 🧵",Positive,User agreement
"In case you didn't know, 52% of Harvard MBA students are JEWISH

Jews are only 2% of America and 0.2% of the world. Is that weird?",Positive,User agreement
"@RealComfyfren @Rothmus ""Zendaya is the 2nd most beautiful celebrity"" lol",Negative,User agreement
@carolinemarcus @SkyNewsAust ⚡️ FREEDOM FOR THE WHITE MAN  ⚡️,Negative,User agreement
@PeterDutton_MP ' Muslim Australian' is an oxymoron. No Muslim can be Australia.,Negative,User agreement
"Poor little tiny Israel. 

Cenk Uygur smashes panel.",Positive,User agreement
"Is it weird the three most prominent authors on WW2 left out ""that event"" from their works? What might that tell us?",Positive,User agreement
@iamyesyouareno Many options are available,Negative,User agreement
"Seriously Fuck you Israel! Your day is coming faster than you think. 

During a raid on his home in the Shwaika neighborhood of Tulkarm, a Palestinian youth named Osayd Taha was viciously attacked by a military dog belonging to the occupation forces. The brutal incident highlights the excessive use of force and aggression employed by the occupying forces against Palestinian civilians, even targeting innocent youths like Osayd Taha.

This unjust and inhumane treatment further exacerbates tensions and reinforces the oppressive nature of the occupation in Palestinian territories.",Positive,User agreement
Extraordinary that no Australian mainstream media outlet investigates the Israel lobby's undermining of Australian democracy. Free trips to Israel for MPs and journalists. Lawfare etc #auspol,Positive,Pro user
What does it take for Australian mainstream media and political class to stop reporting #Israel neutrally. It is a rogue state. #Terrorism #warcrimes #genocide are its weapons.,Positive,Pro user
"It's called being daring and having a little balls, like your forefathers had who are now staring down at their anime fan son in shame and regret",Negative,User agreement
Are JEWS offered interest free loans? Is that incredibly bigoted if only offered to JEWS?,Positive,User agreement
@iamyesyouareno,Negative,User agreement
I condemn anyone condemning Palestinian resistance.,Positive,User agreement
"White man, your time is now.

Every year, our people are made to endure an ever-increasing rate of injustice. We are expected to bare our teeth and keep silent.

No more. The traitors won't stop until there's none of us left.

Take up action. What's stopping you?

@NSNContactBot",Negative,User agreement
"@ada_lluch Ok then White Americans should just go along with being replaced by 1.4 billion Indians, got it 😂",Negative,User agreement
@PeterDutton_MP Soulless goblin goyim dancing a little tune for your Jewish masters. Who are you fooling?,Positive,User agreement
I am a fascist,Negative,User agreement
"I've been banned by Israel from entering Palestine, visited by the anti-terrorism unit, had my YouTube channel and Instagram deleted, and my Facebook pages censored to the point of being unusable.

But I won't stop speaking up for Palestine, no matter what.

Follow me on my new instagram account @robertmartinpal",Positive,User agreement
@UnApostate @ShaykhSulaiman I don't dispute it . Have you compared this to marraige practises in 1600 England .?,Irrelevant,User agreement
"A genocide is taking place in Gaza in the name of Zionism, the state of Israel and in the name of Jewish people.
According to Jeremy Leibler, president of the Zionist Federation of Australia, a recent survey conducted by Monash University reveals that ""the overwhelming majority of Australian Jews are Zionists, and in particular support Israel and the IDF since October 7."" (1)",Positive,User agreement
"@RoterOscar You are a communist traitor and I assure you, you will be dealt with accordingly.",Irrelevant,User agreement
"Is it curious that 93% of Americans were AGAINST going to war with Germany as of May 1940?

Why are the masses oblivious to this?",Negative,User agreement
"Against so many odds, against structural racism and the machinations of Zionists, I was awarded an ARC Future Fellowship in 2022 researching and archiving decolonial, transnational Arab and Muslim anti-war and feminist activism since the 1970s in Australia. Despite these machinations and the constant cost of speaking up I will continue to speak up. 

Every academic in Australia but especially those in law, the humanities and social sciences, who offers an acknowledgment of country before they begin their lecture or conference talk, who professes to be 'progressive', who drops Black and Brown scholars' quotes and citations in their papers to posture as anti-racist- everyone of you should be loudly professing your solidarity with the students of Columbia, Yale, Harvard AND using your privilege to oppose the Palestinian genocide and fight for justice that is rooted in an intersectional, global agenda. To remain silent exposes your performative politics and your contempt for your positionality as a settler here on stolen land.  

As an academic, a writer and a Palestinian Egyptian Muslim woman I extend my solidarity to the students who are showing an entire generation of adult academics that your long CVs and silence will only turn you into a footnote in history's record of those who shamelessly remained complicit in the silence of consent.",Positive,User agreement
"The Australian culture scene is being censored to an unprecedented extent. Support for Palestinians is closed down by Israel supporting gutless organisations like @NatGalleryAus @StateLibraryVic @MelbSymphony (particularly gutless in blocking its X page), Creative Australia.",Positive,User agreement
Apologists for a nation committing #genocide lauding an Attorney General who met with a government of war criminals. Sick.,Negative,User agreement
@AmosIrishdaz @Steve_Laws_,Irrelevant,User agreement
"Yeah, we're screwed.",Irrelevant,User agreement
"Let this sink in. Today the head of the ABC said to post on social media 'illegally Occupied Territories' is antisemitic.This ought to provide a clue as to the restrictions on language use at the public broadcaster, to policy based on the judgement of senior management.",Negative,User agreement
"Lismore locals are the definition of resilience.

They've faced devastating flooding all too recently. Yet time and time again, they rally together and support each other.

Volunteers, emergency service workers, and neighbours are all showing extraordinary selflessness and strength in the face of Ex-Tropical Cyclone Alfred.

At the hardest of times, we see the best of the Australian character.",Irrelevant,User agreement
"Throughout this year, we've been working hard to deliver cost of living relief. There's more to do, and we'll work every day to deliver for Australians.",Irrelevant,User agreement
Locked the fuck in,Irrelevant,User agreement
@IvankaNews_ Not yet. But I am hoping,Irrelevant,User agreement
@Chriscoveries The fact the answer is 'yes' is absolutely astonishing.,Irrelevant,User agreement
https://t.co/m7QTaT48ql,Irrelevant,User agreement
"While it is now clear that there was no threat from the caravan incident at Dural, this despicable event was designed to spread fear in the Jewish community and provoke division.

Those who concocted the criminal hoax and helped spread it have caused incalculable harm. 1/3",Negative,User agreement
"Yesterday I had a constructive discussion with the Foreign Minister of Israel, Gideon Sa'ar. A key focus was the proposed ceasefire and its consequences.

This agreement is an important step towards peace and stability in the region.",Negative,User agreement
"Charlestone White suggests there should be a J*w on J*w violence based rap since they monetize Bl*ck violence 🫣🫣""We should make kids love H*tler""",Positive,User agreement
"Creating opportunity for women is a matter of national interest and a driver of national success. Because when women get ahead, Australia moves forward.

Ahead of International Women's Day, we reflect on how far we've come and the work still ahead.

In the last three years, we've made overdue changes: expanding Paid Parental Leave, delivering a 15% pay rise for early educators, strengthening protections against workplace harassment, and bringing the gender pay gap to an all-time low.

We're taking action on violence against women - investing in crisis housing, supporting survivors, and focusing on prevention. 

And we're driving change in child care, with a new 3-Day Guarantee to support Aussie families and make sure every child has access to quality early education. 

But there's more to do. And we'll keep working until fairness, safety, and opportunity are a reality for everyone in Australia.",Negative,User agreement
"This woke divisive nonsense has to end.

THERE IS ONLY ONE NATIONAL ANTHEM!!!",Negative,User agreement
"Charlestone White says America was a better country when White Men had more power 😳""The white man is the only one who still loves this country and wants to protect it's values""",Negative,User agreement
"Every decent human:

""Zionism is terrorism.""",Positive,User agreement
"Hamas Leader Yahya Sinwar:""Does the world expect us to be well-behaved victims while we are getting killed? For us to be slaughtered without making a noise?""",Negative,User agreement
"Jon Jones post fight 🎤""I want to acknowledge Jesus Christ, i can't take credit for Gifts like this""",Negative,User agreement
Albanese has provided more funding for Ukraine in his budget than he has for Aussies affected by Cyclone Alfred.Remind me again WTF Ukraine has ever done that benefits Australia???,Negative,User agreement
