content,sentiment,decision_source,cleaned_content
"60,000 people in Gadigal/Sydney demanding #CeasefireNOW and Australian Govt ends complicity with Israeli genocide of Palestinian people!",Positive,User agreement,people gadigal sydney demand australian govt end complicity israeli genocide palestinian people
"#BREAKING:

The Yemeni 🇾🇪 Navy began mining the waters in the Red Sea. 

After the US and a coalition of 9 other states announced the imminent start of a military operation against Yemen, Houthis began to mine their waters.

Something real big is about to go down.",Negative,User agreement,yemeni navy begin mine water red sea coalition state announce imminent start military operation yemen houthis begin water real big
"Please stop telling Palestinians how to resist a violent occupation and apartheid regime. When you demand we be polite, respectable, diplomatic, reasonable - you are essentially asking us to be complicit in our own deaths.",Positive,Pro user,stop tell palestinians resist violent occupation apartheid regime demand polite respectable diplomatic reasonable essentially ask complicit death
"@DocumentIsrael People killed him so they didn't have to look at him any more . Do you have to put its picture up , have some respect .",Positive,Pro user,user people kill look picture respect
Pauline has joined the ZJew club just like all our politicians past and present.,Positive,Pro user,pauline join zjew club like politician past present
"@NickJFuentes Jews rule over us and are actively destroying our society and ""based rightwing"" guys on twitter would rather argue about a fictional drawing of a woman for multiple days on end rather than organising or propagandising anything productive.",Positive,Pro user,user jews rule actively destroy society base rightwe guy twitter argue fictional drawing woman multiple day end organise propagandise productive
"Had a months-long writing gig that was meant to start tomorrow, which I've just been told has been postponed  so they can review their ""cultural safety processes"" in this time of ""heightened sensitivities."" Pretty sure that's code for Zionists complained. Cool and normal times.",Positive,User agreement,month long writing gig mean start tomorrow tell postpone review cultural safety process time heighten sensitivity pretty sure code zionist complain cool normal time
@TheRISEofROD Gentile sacrifice is one of their favourite pastimes.,Irrelevant,Pro user,user gentile sacrifice favourite pastime
"Looks like I got a special mention. 

But seriously, the big dog Elon has to put a stop to this mass reporting resulting in account suspensions. Pretty sure that's not how he intended this platform to operate. 

@Premium @ElonMusk @lindayaX @enriquebrgn @KettlebellLife @natemcgrady @benarroch_joe @mahsadinyari @kelsey_laymon @EFarraro @ayroblu @liuyuxxd @Leg0King @dinkin_flickaa @evanstnlyjones @cstanley @ehikian @Support @ptraughber @Safety",Irrelevant,Pro user,look like get special mention seriously big dog elon stop mass reporting result account suspension pretty sure intend platform operate user user user user user user user user user user user user user user user user user user user user
"I can't quite figure out the pattern here 

H/T @tonyrigatonee",Irrelevant,User agreement,figure pattern h t user
"Tom Sewell, Nathan Bull and Jacob Hersant have been arrested today.Their charge?Being a bit offensive whilst protesting for the capture and return of the baby mutilator in QLD.If you harm an infant, you can catch international flights.Be rude?Arrested and charged.",Negative,User agreement,tom sewell nathan bull jacob hersant arrest bit offensive whilst protest capture return baby mutilator harm infant catch international charge
Find out more:,Irrelevant,User agreement,find
"APAN has today called on the Federal Government to investigate revelations that a pro-Israel lobby group applied pressure to @ABCnews to terminate the employment of journalist @antoinette_news.

Read more -",Negative,User agreement,apan today call federal government investigate revelation pro israel lobby group apply pressure user terminate employment journalist user read
Just a reminder to the new critics calling me ignorant: I've been there and seen it firsthand. Have you?,Irrelevant,Pro user,reminder new critic call ignorant see firsthand
Palestinians try to save as many cats as possible from Israel's genocide.Transporting them from Khan Yunis to a refuge.,Positive,User agreement,palestinians try save cat possible israel khan yunis refuge
Australia does not claim this clown.,Irrelevant,User agreement,australia claim clown
"Another great discussion this morning with global Rio Tinto CEO Jakob Stausholm.

Rio Tinto is a major employer that contributes so much to job creation and our regional economy.",Irrelevant,User agreement,great discussion morning global rio tinto ceo jakob stausholm rio tinto major employer contribute job creation regional economy
"Australian Opposition leader Peter Dutton's comments are a disgraceful example of anti-Palestinian racist politicking, aimed at stirring hatred against Palestinians as they seek to flee Israel's ongoing genocide in Gaza.

#auspol",Positive,User agreement,australian opposition leader peter dutton comment disgraceful example anti palestinian racist politicking aim stir hatred palestinians seek flee israel ongoing genocide gaza
"My local coffee shop has a sign that says ""NO wi-fi, pretend it's 1973""

So I paid 10 cents for a coffee and lit up a cigarette.",Irrelevant,User agreement,local coffee shop sign say wi fi pretend pay cent coffee light cigarette
"Opera House protest was vile #antisemitism 

Whether protestors said ""Gas the Jews"" or ""Where's the Jews"" is irrelevant because both are abhorrent

Further it is uncontested they said ""F-ck the Jews"" & burnt the Israeli flag

Hate is Hate

Time to own it",Negative,Pro user,opera house protest vile protestor say gas jews jews irrelevant abhorrent uncontested say f ck jews burn israeli flag hate hate time
"Hamas rockets fired from densely populated civilian areas at Israeli civilian centres are a double war crime. They endanger Palestinians by turning the launch site into a lawful military target and their aim is to kill as many Israelis as possible. How dare the ABC laud war crimes as ""resilience"".",Negative,User agreement,hamas rocket fire densely populate civilian area israeli civilian centre double war crime endanger palestinians turn launch site lawful military target aim kill israelis possible dare abc laud war crime resilience
It's undeniably apartheid.,Negative,Pro user,undeniably apartheid
"@_Jase_C_ @MarioNawfal I can't stop crying. You won't see @elonmusk share this content.

His hypocrisy is so damming.",Irrelevant,Pro user,user user stop cry will user share content hypocrisy dam
"Time for honesty 

If you refer to Melbourne Australia by its indigenous name ""Narrm"" then you should refer to the West Bank by its' indigenous name ""Judea"" & ""Samaria""

And for those who don't know, Judea & Samaria are the biblical names of the indigenous Israelite Kingdoms",Negative,User agreement,time honesty refer melbourne australia indigenous narrm refer west bank indigenous judea samaria know judea samaria biblical name indigenous israelite kingdom
"You know whats inexcusable @SenSHenderson your lack of empathy for Palestinians!

Any concern for the Palestinian infants frozen to death?

Every hospital, school & civil admin building destroyed, 95% of the population displaced, 50k+ murdered?

Sorry Palestinians are not white!",Negative,Pro user,know s inexcusable user lack empathy palestinians concern palestinian infant freeze death hospital school civil admin building destroy population displace murder sorry palestinians white
We will never forget who stood beside us. We love you South Africa.,Irrelevant,User agreement,forget stand love south africa
"Here's a day in Israel compared to a day in Gaza. 

This actually makes me feel sick.",Positive,User agreement,day israel compare day gaza actually make feel sick
"@HenMazzig Again, ur being disingenuous. Israel has 10,000+ Palestinian men, women & kids as young as 12 who hv been taken & put thru unfair military trials, held in solitary confinement & held unjustly vs Israelis who r put thru regular courts. 

THIS is why Oct 7 happened.",Positive,User agreement,user ur disingenuous israel palestinian man woman kid young hv take unfair military trial hold solitary confinement hold unjustly vs israelis r regular court oct happen
The dystopian reality we live in. #Eurovision2024,Irrelevant,User agreement,dystopian reality live
"We are witnessing a genocide in front of our eyes. Everyone will look back and say, how could we let it happen? Never again! Yet it happens again and again. I feel so sick. How can we ever forgive this. #Gaza_Genocide #SavePalestine #StopGazaGenocide",Positive,User agreement,witness genocide eye look let happen happen feel sick forgive
"It was a Zionist protester who said kill the Jews, mocking Palestinians standing against Israeli genocide. There is literal video of it. 

Unless you can provide evidence of this claim, retract it, apologize, and regardless: divest from Israeli apartheid and genocide",Positive,User agreement,zionist protester say kill jews mock palestinians stand israeli genocide literal video provide evidence claim retract apologize regardless div israeli apartheid genocide
What is difficult to accept is that these children might all be wiped out tomorrow and there is nothing and no one to prevent it.,Negative,User agreement,difficult accept child wipe tomorrow prevent
I don't want to live in a shithole,Irrelevant,User agreement,want live shithole
"🚨Queensland's Chief Health Officer, John Gerrard has resigned suddenly.",Irrelevant,User agreement,queensland chief health officer john gerrard resign suddenly
"@DrewPavlou Obvious being satirical, this conversation would not make sense unironically",Irrelevant,User agreement,user obvious satirical conversation sense unironically
"The line has been crossed

Surrounding Jews, including the elderly on the streets of Melbourne, intimidating them & calling them terrorists is too far

Time to stand up @JacintaAllanMP @JohnPesutto @AlboMP @SenatorWong @PeterDutton_MP @AdamBandt

@theage @theheraldsun @australian",Negative,Pro user,line cross surround jew include elderly street melbourne intimidate call terrorist far time stand user user user user user user user user user
Jewish pride flag.,Negative,User agreement,jewish pride flag
"We should be the ones knowing EVERYTHING about the government. 

NOT the other way around. 

We are PRIVATE citizens, they are PUBLIC servants. 

We pay them in the form of insanely high taxes, and they squander every cent and borrow much more. 

Yet they treat us like potential criminals, whose speech needs to be monitored 24/7? 

GTFOOH!",Negative,User agreement,one know government way private citizen public servant pay form insanely high taxis squander cent borrow treat like potential criminal speech need monitor gtfooh
"Has anyone seen a post from that beastly @MehreenFaruqi denouncing the filth that her country men have been doing in the UK? 

Me neither. She has to go.",Negative,Pro user,see post beastly user denounce filth country man uk
"🇵🇸🇮🇱 I genuinely don't believe there's a more evil country than Israel.Israel has just killed the eldest son of journalist, Wael Dahdouh.Israel has now killed:- 2 of his sons- His wife- His Daughter - His grandsonMay God ease his pain and punish those responsible.",Positive,User agreement,genuinely believe evil country kill eld son journalist wael daughter grandsonmay god ease pain punish responsible
@DavidPocock Did you watch all of it or just the legacy media video?,Irrelevant,User agreement,user watch legacy media video
@elonmusk @IanCarrollShow please prove him wrong. It's rhe jew media now,Positive,Pro user,user user prove wrong rhe jew medium
The king of genetic excellence has spoken.,Irrelevant,User agreement,king genetic excellence speak
"🚨Senator Sarah Hanson-Young has criticised the proposal to ban kids from using social media, asserting, ""such a recommendation is NOT in the report.""",Irrelevant,User agreement,senator sarah hanson young criticise proposal ban kid social medium assert recommendation report
Today I met with Ella and Daniel in Tel Aviv. Both had family members taken as hostages by Hamas terrorists on 7 October 2023. 467 days later they speak for all of us when they demand the return of all hostages to their families. The ceasefire must make that a reality.,Negative,Pro user,today meet ella daniel tel aviv family member take hostage hamas terrorist october day later speak demand return hostage family ceasefire reality
"The unwavering dedication of Palestinians to their Islamic beliefs is deeply inspirational.

In Gaza, Palestinians who have been displaced held Taraweeh prayers in camps and beside the ruins of demolished mosques.",Positive,User agreement,unwavering dedication palestinians islamic belief deeply inspirational gaza palestinians displace hold taraweeh prayer camp ruin demolish mosque
"The fire here at the Adass Israel Synagogue in Melbourne was beyond despicable. 

It was terrorism.",Negative,User agreement,fire adass israel synagogue melbourne despicable terrorism
"Can you see it yet Aussie's⁉️

Time to speak up before it's too late.",Negative,User agreement,time speak late
"The so called Anti Semitism Commissioner Jillian Segal, essentially an apologist for #Israel, thinks courts need to be tougher on offenders. Utter bullshit. Increased penalties do not deter. Further note she doesn't care about Arab Australians and Muslims being harassed #auspol",Positive,Pro user,call anti semitism commissioner jillian segal essentially apologist think court need tough offender utter bullshit increase penalty deter note care arab australian muslims harass
Over the last few days I've been working with Commonwealth leaders for the common good.,Negative,Pro user,day work commonwealth leader common good
I stand by this unequivocally:,Irrelevant,User agreement,stand unequivocally
"There has been a powerful moment of democracy in Pakistan. Millions and millions have voted for Imran Khan's party despite widespread intimidation, legal & physical attacks and even the deregistering of the party symbol. This reality cannot be ignored. 1/2",Negative,User agreement,powerful moment democracy pakistan million million vote imran khan party despite widespread intimidation legal physical attack deregistering party symbol reality ignore
@PeterDutton_MP Christmas not 'chanukah' you goblin traitor dog,Negative,Pro user,user christmas chanukah goblin traitor dog
"APAN is dismayed by reports the govt will appoint a taxpayer-funded antisemitism envoy. This singles out antisemitism for special attention, and neglects escalating racism experienced by Palestinians, Muslims, First Nations people, and other communities.",Positive,Pro user,apan dismay report govt appoint taxpayer fund antisemitism envoy single antisemitism special attention neglect escalating racism experience palestinians muslim nation people community
"""Israel is one of the most criminal armies in the world"" - Chris Sidoti, UN's Independent International Commissioner.",Positive,Pro user,israel criminal army world chris sidoti un independent international commissioner
"We are beyond definitional debates. You can claim whatever self-idealising definition you want. That the majority of Jewish people allow themselves to be used as human ideological shields for Zionism is not a problem for Palestinians to solve. Your existential crises, narcissistic feelings and deliberate conflation of Jewish identity with Zionism have become our children's graveyards. (2)",Positive,User agreement,definitional debate claim self idealise definition want majority jewish people allow human ideological shield zionism problem palestinians solve existential crisis narcissistic feeling deliberate conflation jewish identity zionism child graveyard
Bisan just now on Insta. Israel's slaughter continues out of sight.,Positive,User agreement,bisan insta israel slaughter continue sight
"Join me in supporting the Demand Australia Sanctions Israel now, campaign.

It takes 30 seconds to complete.",Positive,Pro user,join support demand australia sanction israel campaign take second complete
"@price0fwoke @WildernessWypt @taylorswift13 Everything we do makes a difference, so just complaining for nothing. The more that block them the more they see there is even a small impact on their understanding of what their audience will allow.",Negative,Pro user,user user user make difference complain block small impact understanding audience allow
"United States of Israel ✡️

USA has fallen",Positive,Pro user,united states israel usa fall
@ShaharShvat @babyrocck That's because you're a fascist.,Negative,Pro user,user user fascist
"Zionists keep telling us #BDS doesn't work. 

That's why they have charged the Ministry of Strategic Affairs with the mission to try and mitigate #BDS

Good luck. 

BDS until BDS

Boycott Divest and Sanction. 

Until 

Binational Democratic State. 

#FreePalestine",Positive,User agreement,zionist tell work charge ministry strategic affair mission try mitigate good luck bds bds boycott divest sanction binational democratic state
@TRobinsonNewEra Shakespeare was writing a 1000 years later and in Romeo&Juliet kids were getting married at 10 for political reasons  . Juliets mother scolded her for being old at 13,Irrelevant,Pro user,user shakespeare write year later kid getting marry political reason juliets mother scold old
"Greens leader Adam Bandt refused to support a two state solution. Yet he supports Palestinian statehood. Therefore he supports a Palestinian state in place of Israel not alongside it. He could not bring himself to openly classify Hamas as a terrorist organisation yet he freely accuses Israel of a catalogue of crimes. He now leads the most extreme party in our parliament, one that has completely betrayed true progressive ideals.",Positive,Pro user,greens leader adam bandt refuse support state solution support palestinian statehood support palestinian state place israel alongside bring openly classify hama terrorist organisation freely accuse israel catalogue crime lead extreme party parliament completely betray true progressive ideal
When is he going to understand that he is not talking to a mob of sheeple unionists anymore  and start talking TO the people instead of lecturing down to them?,Irrelevant,User agreement,go understand talk mob sheeple unionist anymore start talk people instead lecture
@cctvidiots,Irrelevant,User agreement,user
"Apparently ""X"" has been working with military and police all over the world to combat antisemitism. See you in the gulags comrades",Negative,User agreement,apparently x work military police world combat antisemitism gulag comrade
"Let's go Naarm/Melbourne!!!

From the River to the Sea!

#BoycottIsrael 
#FreePalestine",Positive,User agreement,let naarm melbourne river sea
"APAN unequivocally condemns US President Donald Trump's explicit endorsement of ethnic cleansing in Gaza, and Israeli Prime Minister Benjamin Netanyahu's promise to continue to committing genocide in the territory.

Read our full media release via",Positive,User agreement,apan unequivocally condemn president donald trump explicit endorsement ethnic cleansing gaza israeli prime minister benjamin netanyahu promise continue commit genocide territory read medium release
"Salaam, I'm running for office in the Blaxland electorate this federal election. We deserve better representatives and a party that will tax big corporations to fund public services, end arms trading and sanction Israel, and ensure a more sustainable and just future for all of us",Positive,User agreement,salaam run office blaxland electorate federal election deserve well representative party tax big corporation fund public service end arm trading sanction israel ensure sustainable future
"I'm sure the Holocaust sucked.I wasn't there. It was also a long time ago.Your actions today don't magically become acceptable because of what your ancestors went through, nor is it a free pass for your behaviour.Go fuck yourself.",Positive,User agreement,sure holocaust long time action today magically acceptable ancestor go free pass fuck
Sydney for the White man! The rest must go @NSNContactBot @EuropeanAusMvt,Negative,User agreement,sydney white man rest user user
"I thought someone had done this as a joke. 
It's not a joke. 

Pope Francis inaugurates nativity scene in Vatican showing 'baby Jesus' on a keffiyeh.",Negative,Pro user,think joke joke pope francis inaugurates nativity scene vatican show baby jesus keffiyeh
"They are putrid perverted bastards and every racist, sexist claim they make is a confession, a reflection of themselves and their intentions",Negative,Pro user,putrid perverted bastard racist sexist claim confession reflection intention
"@PaulineHansonOz We need a reversal of immigration, not a pause or a moratorium.The time for that has passed.We must secure a White majority for Australia if prosperity is to continue, otherwise our once beautiful and rich nation will be lost - destined to become a third world ghetto.",Negative,User agreement,user need reversal immigration pause time secure white majority australia prosperity continue beautiful rich nation lose destine world ghetto
Registrations have opened for Australians wishing to leave Israel or the Occupied Palestinian Territories. Register here:,Negative,Pro user,registration open australian wish leave israel occupied palestinian territory register
"For everyone who thinks boycotts don't work, here's the CEO of McDonald's saying their business has suffered ""a meaningful impact"" in the Middle East and other markets because of them. Keep it up.",Negative,Pro user,think boycott work ceo mcdonald say business suffer meaningful impact middle east market
"One in four 'israelis' is looking for a way to leave the colony. 

Since Oct. 7, almost half a million (470,000) 'israelis' have migrated ""with no intention to return."" 

Additionally, date indicates a significant decline of approx 50 percent of immigrants to 'israel' since early October. 

It's over, settlers. Go home.",Positive,User agreement,israelis look way leave colony oct half million israelis migrate intention return additionally date indicate significant decline approx percent immigrant israel early october settler home
Still wondering what side to take?,Irrelevant,User agreement,wonder
Scum.,Irrelevant,User agreement,scum
"Remember Fadi, who was being starved by Israel? He is now alive, well and smiling❤️This is all thanks to your efforts to bring him out of Gaza for medical treatment, you saved him.",Positive,User agreement,remember fadi starve israel alive smile thank effort bring gaza medical treatment save
@GarbageHuman24,Irrelevant,User agreement,user
"🇵🇸30,000 people rally and march in #Gadigal / #Sydney for justice in Palestine, demanding #CeasefireNOW, an end to Israel's #genocide of Palestinian people and the illegal blockade of Gaza and for @AlboMP Labor govt to stop supporting genocide. #FreePalestine",Positive,User agreement,people rally march justice palestine demand end israel palestinian people illegal blockade gaza user labor govt stop support genocide
"It's past time for sanctions on Israel!

@AlboMP and @SenatorWong what are you waiting for!!!!

#auspol",Positive,User agreement,past time sanction israel user user wait
My column @themercurycomau #Israel lobby attacks freedom of speech and the @abcnews is spineless #AntionetteLattouf,Positive,Pro user,column user lobby attack freedom speech user spineless
"All eyes on Gaza, all eyes on Rafah, on Palestine. The genocide is escalating. This horrific mass murder and starvation must be our focus.",Positive,User agreement,eye gaza eye rafah palestine genocide escalate horrific mass murder starvation focus
"Free Free Palestine. 

From the River to the sea!

We march soon, join us!!!

#freegaza
#FreePalestine",Positive,User agreement,free free palestine river sea march soon join
Lebanese people don't want to leave their loved ones and lands. They want the expansionist genocidal zionist entity to stop bombing their homes in its bid to colonise the area.,Positive,User agreement,lebanese people want leave love one land want expansionist genocidal zionist entity stop bomb home bid colonise area
"Mohammad Sharab (charged over alleged kidnapping, torture & threats to kill) seemingly incited crowd @MonashUni to prevent Jewish students right to freedom of movement

Sharab seemingly claims this denial of Jews right to freely move around @MonashUni campus is payback for him having to pass through security checkpoints between Israel & Gaza

@VictoriaPolice @ASIOGovAu @3AW693 @australian @theheraldsun @theage @ZionistFedAus @AUJS @ECAJewry",Positive,User agreement,mohammad sharab charge allege kidnapping torture threat kill seemingly incite crowd user prevent jewish student right freedom movement sharab seemingly claim denial jews right freely user campus payback have pass security checkpoint israel gaza user user user user user user user user user
"Reminder, the USA does NOT have a gun problem",Negative,User agreement,reminder usa gun problem
History will write that Saudi Arabia and the UAE have the world's largest oil reserves and not a single drop was sent to Gaza to help keep hospitals and ambulances running.,Negative,Pro user,history write saudi arabia uae world large oil reserve single drop send gaza help hospital ambulance run
@shapiro_sharp I believe the shoe is on the other foot. You are trolling me. If you dislike what I say so much why do you keep coming back for more?,Irrelevant,User agreement,user believe shoe foot troll dislike come
@MannieMighty1 He'll still ask for more pocket money.,Irrelevant,User agreement,user ask pocket money
TRUE 👇🏼👇🏼👇🏼👇🏼,Irrelevant,User agreement,true
We are so close,Irrelevant,User agreement,close
"The Greens are now the party of pro-war, pro-mass atrocity, pro-terror. Shame on you all.",Positive,Pro user,green party pro war pro mass atrocity pro terror shame
Viva the Irish ✊️,Irrelevant,User agreement,viva irish
"Australian Palestinian leader doesn't see Hamas as Terrorist Organisation 

@Erin_Molan ""Hamas as a Terrorist Organisation, will you condemn them ?""

@RandaAFattah ""I don't see them [Hamas] as a Terrorist Organisation""

via @SkyNewsAust 

@theage @theheraldsun @australian",Negative,User agreement,australian palestinian leader hamas terrorist organisation user hamas terrorist organisation condemn user hamas terrorist organisation user user user user
"In case you didn't know, 52% of Harvard MBA students are JEWISH

Jews are only 2% of America and 0.2% of the world. Is that weird?",Positive,User agreement,case know harvard mba student jewish jews america world weird
Objectively true,Irrelevant,User agreement,objectively true
@UncorruptedMan,Irrelevant,User agreement,user
my ride is here,Irrelevant,User agreement,ride
@Powerfulmindx @CNN,Irrelevant,Pro user,user user
'Sex work' is just the ultimate commodification of self. Truly a weird form of self exploitation. Nothing more disrespectful to yourself to offer yourself as nothing but a vessel for the pleasure of others. Those who do this do not understand they're a human with a soul.,Irrelevant,User agreement,sex work ultimate commodification self truly weird form self exploitation disrespectful offer vessel pleasure understand human soul
".@AlboMP Why is it illegal to climb a rock that only belongs to a small percentage of Australians, but it's OK to burn the Australian flag that belongs to 100% of the people?",Negative,User agreement,illegal climb rock belong small percentage australian ok burn australian flag belong people
I stand with Palestine and here's why.,Positive,Pro user,stand palestine
"Mahmoud received a scholarship study anywhere in the world, and he chose the University of Melbourne. Devastatingly, he was killed by Israel's genocide last week.

Uni Melb's Gaza solidarity encampment renames Arts West to Mahmoud's Hall.",Positive,User agreement,mahmoud receive scholarship study world choose university melbourne devastatingly kill israel genocide week uni melb gaza solidarity encampment renames arts west mahmoud hall
"On the IOF uniform, a badge displaying a map of greater 'israel', which includes parts of Lebanon, Saudi Arabia, Iraq and Syria. 

Open your eyes world.",Positive,User agreement,iof uniform badge display map great israel include part lebanon saudi arabia iraq syria open eye world
I support salmon farming on Macquarie Harbour because it means jobs for Tasmania.,Irrelevant,User agreement,support salmon farming macquarie harbour mean job tasmania
"Reminder: The protesters were not protesting Jews or a synagogue, they were protesting a ""real estate"" event auctioning off stolen land in occupied Palestine.",Positive,User agreement,reminder protester protest jews synagogue protest real estate event auction steal land occupy palestine
"You're bothered that they're ""filming"" their actions, but you didn't bother to CONDEMN their actions. 

Shut up, Morgan.",Negative,User agreement,bother film action bother condemn action shut morgan
"Today, over 30 MPs from various parties ""debated"" the new 'hate speech' legislation.All of them supported it.",Irrelevant,User agreement,today mp party debate new hate speech support
"""The child, when he saw Czuba, ran to him for a hug and instead was stabbed 26 times.""",Negative,User agreement,child see czuba run hug instead stab time
"I've got 3 daughters, the way they will succeed in what ever they choose will be not having an attitude of being a victim or oppressed, but instead having the attitude of ""that's my goal and im going for it"" by working hard and demonstrating great work ethic. Not be giving anything because of their gender, they will EARN their position in everyday life. 
So albo fuk off your that full of shit",Negative,Pro user,get daughter way succeed choose have attitude victim oppress instead have attitude goal m go work hard demonstrate great work ethic give gender earn position everyday life albo fuk shit
@SenPaterson Still conflating ant zionism with anti semitism . Jews don't support Israel .,Positive,User agreement,user conflate ant zionism anti semitism jews support israel
"""Mama I'm afraid to die"" Gaza children in a make-shift refugee tent. The kind Israel is currently bombing. So many of girls like her do die in horrific ways.",Positive,User agreement,mama afraid die gaza child shift refugee tent kind israel currently bomb girl like die horrific way
Non-whites get excluded from Hitler club and go and post this coal,Positive,Pro user,non white exclude hitler club post coal
Women literally do this and wonder why there has been restrictions on them in every culture throughout all of history,Negative,User agreement,woman literally wonder restriction culture history
Media in Australia needs to ask why it is ok to fly the flag of a nation committing #genocide ? #Israel,Negative,Pro user,medium australia need ask ok fly flag nation commit
"Supporting Palestine is not anti-Semitic, and Israel does not represent all Jews.

It really isn't complicated.",Positive,User agreement,support palestine anti semitic israel represent jews complicated
@mattjcan Just a daily reminder to everyone that Matt betrayed the aus people and voted yes to reducing austalians free speech,Negative,User agreement,user daily reminder matt betray aus people vote yes reduce austalians free speech
@Craig_Foster I gather you're not coping?,Irrelevant,User agreement,user gather cope
"@ukhomeoffice Is this you? 🧐

By ""keep you safe"" do you mean Whites or minorities? 

Hmm 🤔",Negative,User agreement,user safe mean white minority hmm
In every state and territory I've met Australians who want to build a stronger future. A future where no one is held back and no one is left behind.,Negative,Pro user,state territory meet australian want build strong future future hold leave
"@JacintaAllanMP Jew lapdog cries out in pain about ""freedom haters"" as it promises to take away freedoms, this stuff writes itself 😂",Positive,User agreement,user jew lapdog cry pain freedom hater promise away freedom stuff write
"The social media age ban has landed and it's a dogs breakfast. It bans young people creating age appropriate accounts with controls like no DMs, limits on ads, data restrictions. The obvious outcome is many will simply use an adult account with none of those protections.",Irrelevant,User agreement,social medium age ban land dog breakfast ban young people create age appropriate account control like dms limit ad data restriction obvious outcome simply use adult account protection
Let me get this straight: Criticising Israel is antisemitic but mass arresting Jews is not?,Negative,Pro user,let straight criticise israel antisemitic mass arrest jews
Good news; Do you remember Amina?She was treated and became better.,Irrelevant,User agreement,good news remember treat well
Israeli prison guards fractured both arms of this child during beatings. This report also alleges prison guards urinate on handcuffed prisoners. Like I said. They just show us everyday who they are. This apartheid regime needs to be dismantled for the sake of humanity.,Positive,Pro user,israeli prison guard fracture arm child beating report allege prison guard urinate handcuffed prisoner like say everyday apartheid regime need dismantle sake humanity
