content,sentiment
"""The Party told you to reject the evidence of your eyes and ears. It was their final, most essential command"" - George Orwell

Video by: @Norambu3na",Negative
"@DrewPavlou ""Intimidating"" Jews is the same as exposing Jewish power? 

I wonder why that's the case.",Positive
"Children should be able to enjoy their school and life instead of having to seek shelter from an illegal genocidal regime.

Via EyeonPalestine",Positive
The actor for Mussolini looks more like Evola,Negative
"The text messages, the political speeches, the slogans and songs, the interviews with Hamas spokespeople, the soundbites from Palestinians in Gaza's streets, the videos, the captions, the voice notes: you don't need to be a political analyst, historian or expert to comprehend that Israel cannot and will never defeat the Palestinian people. Not because we are special or superhuman but because Zionism forces us all to confront the irrepressible will and resolve of human beings to live with freedom and dignity. And that is why Israel and Zionism manifest the worst of humanity because they are confronted with the best of humanity and know it.",Positive
"Nothing on the ABC. 🔻🔻
No university law schools or law societies tweeting about this monumental, historic moment.",Negative
"Absolutely magnificent. 

Fuck you israel!",Positive
"My piece in @PalStudies on Israel weaponising rape atrocity propaganda, how this isn't a #metoo or 'believe women' moment, and the racism and Orientalism of mainstream feminism & liberal 'progressives'.",Positive
"@DrewPavlou @purplepingers Based ancestors, yet look at the weak and pathetic man that stands in their shoes.

South Africa was destroyed by communism but @purplepingers has the nerve to spread that disease in Australia.

We should deport him to Cape Town so he can live with the blacks.",Negative
"So @realDonaldTrump just selected @marcorubio , one of the most heavily @aipac funded politicians in Washington, to Secretary of State

Is this America first? 
Is Rubio owned by JEWS?",Positive
Yea,Irrelevant
There's no Auschwitz in Gaza. But it's still genocide,Positive
Those Australians who fought for the @IDF during the #Gaza #genocide must be questioned by @AusFedPolice on their activities,Positive
Soyjak at the gay cringe Queensland police @joeldavisx,Irrelevant
"Seriously how can anyone support  this racist, maniacal fake state we call Israel?",Positive
"@VivekGRamaswamy At this point, is anyone remotely surprised it's a JEW?

Is this gaslighting?",Positive
@Molycuddle Shut up you hog.,Irrelevant
May we see next Eid in a free Palestine from the river to the sea.,Positive
Western Australian members of the European Australia Movement had there monthly meet recently. If you are in WA get involved. We are everywhere,Irrelevant
@DrewPavlou Why would we need to use violence for our needs to be met?,Negative
Just in case you didn't know or had forgotten.,Irrelevant
The moment a convoy of cars for Palestine surprised us at the rally in front of Parliament House,Negative
This tells you everything you need to know about out the Israeli mindset.,Negative
Thank you Jimbo video of the year,Irrelevant
Thomas Sewell and Jacob Hersant are brave honourable men and are being prosecuted for being so,Negative
@Nathan_Bull88 Ralph Babet confirmed staunchest NSN supporter,Negative
"This Time The World

Credere!",Irrelevant
"Joel Davis (@joeldavisx) lays out a compelling case that Jews are the enemy of freedom.

This isn't a conspiracy theory, or a paranoid delusion of the obsessed: Jews are blatantly involved in weaponising almost every institution and apparatus against the White man. 🧐",Positive
"📍Brisbane 
EAM Queensland is back into regular group training after a successful national event 

@NSNContactBot @EuropeanAusMvt",Irrelevant
"So much ideology packed into one @abcnews headline:
1. Obscure the actual perpetrator by framing it as ""Hezbollah pager attack"" (shield Israel☑️)
2. ""Disabled the group's communications"" (Centre & legitimate Israel's narrative not its war crimes ☑️)
3. Represent all victims- kids, nurses, doctors, shoppers, civilians- as Hezbollah ""members"" (rewrite international law as per Israel's MO and propaganda☑️)
4. Arabs only understand violence, and deserve to be humbled by killing them (dehumanise Arabs including children ☑️).",Positive
The boys,Irrelevant
"Hitler soldiers. 
📍Melbourne, Victoria 
@NSNContactBot @EuropeanAusMvt",Positive
@GonenYonatan Did they suck each other off . Is that in the Talmud,Positive
"@JacintaAllanMP You are a slave to the Jews.

You are robbing Australians of their rights on behalf of a parasitic hostile fith column.

Traitor scum.",Positive
Evidence of ethnic cleansing by #Israel ignored by media in Australia despite @MSF reporting.  Another example of the media's treating #Palestinians as less human than #Israelis,Positive
"@jacobhersant @DrewPavlou Yakub mentioned...

This is big....",Irrelevant
"33% of the richest Americans are Jews
34% of the richest Russians are Jews

Jews are 0.2% of the planet.  Why are they DRASTICALLY overrepresented across extreme wealth? Why does the media not report about this?

H/T @tonyrigatonee",Positive
@rowandean Keep your Jewish masters happy Rowan . The ones who started Cultural Marxism your favorite thing 🤣,Positive
@GregAbbott_TX,Irrelevant
Appalling attempt to censor. #Palestinian protests must be allowed in the Melbourne CBD. #Israel supporters must not be allowed veto power,Positive
@MannieMighty1,Irrelevant
WE WON,Irrelevant
Not one attack on a mosque in Australia has generated as much political and media attention as last week's attack on a Melbourne synagogue. All appalling but not treated equally. The prejudice and racism against Arab Australians is part of this nation's DNA. #auspol,Positive
"22/10/24 - Victorians say goodbye to
'Refugees' @NSNContactBot @EuropeanAusMvt @WhiteAusVic",Negative
@MerseyPolice Is this you? 🧐,Irrelevant
I do not condemn Hamas.,Positive
Extraordinary that no Australian mainstream media outlet investigates the Israel lobby's undermining of Australian democracy. Free trips to Israel for MPs and journalists. Lawfare etc #auspol,Negative
"@SharriMarkson Omg just imagine the horrifying thought of White Australians who protest that Jews hate the very idea of White Australia having any semblance of freedom of speech😱

You probably need to un-bunch your panties and get with the program imo, because you sound very cringe 😐",Positive
"Is it weird that nations flourished after the expulsion of one group?

H/T @MarcJEvola",Negative
This is the Israel the world is starting to see. About fucking time!,Negative
"Supporting Palestine is not anti-Semitic, and Israel does not represent all Jews.

It really isn't complicated.",Positive
"@AlboMP The traitor can never celebrate the ethnogenesis of the Nation he leads.

It has to be the ""x-Australian"" community, readily campaigning for every minuscule group except the whole of the Nation.

What's next? The Bosnian-Australian meetup? The Kazakh, Bolivian, Armenian festival?",Negative
#Antisemitism is appalling but it is being exaggerated in Australia by the #Zionist lobby to ensure support for #Israel by politicians and the media.,Positive
@IMTIzionism Liar,Positive
"When Ukrainians resist it's heroic. Agreed.
When Palestinians resist it's ""terrorism"" and condemnation.",Positive
"@Steve_Dimo @anniedundun Offering moral support to the Zionist Entity while they're commiting genocide makes Josh an accomplice . But we shouldn't hang people until after the trial , like Nuremburg",Positive
We'll be waiting.,Irrelevant
@SaeedDiCaprio Thanks for sharing my videos,Irrelevant
"Israel is now making the occupied West Bank uninhabitable.

Israel has never had a Hamas problem; it has always had a Palestinian problem.",Positive
@MannieMighty1 Just because a goblin is born in a stable doesn't  make it a horse,Irrelevant
"Israel wants to go back to a time when the world wasn't watching the slow burn genocide, the ongoing Nakba! 

Our job is to make sure that, that never happens! 

Release all the Palestinian hostages now!",Positive
"Hey look, it's a JEW condemning @RealCandaceO for discussing topics like Jewish overrepresentation and the USS Liberty.

How completely predictable @emilyraustin",Positive
"Loan sales guy keeps calling me. So I tell him to 'put a girl on' low and behold a girl from the company calls back to try and sell me a loan. I lecture her on the immorality of usury (she didn't know what usury is, she was selling me a loan at 38% interest). Demon bitch hangs up",Irrelevant
My piece today @themercurycomau on the Zionist lobby's cultural McCarthyism against artists who support or even discuss #Palestine,Positive
Unquestionable.,Irrelevant
Shame on Australia. We are facilitating Israel's genocide in Gaza.,Positive
"The ICJ ruling will be delivered tonight, on Invasion Day in so-called Australia and I can't think of a more poetic reminder that the pursuit of justice is global and that our struggles are bound together.",Irrelevant
Please share rather than like.,Irrelevant
@7NewsAdelaide Yeah the boys,Irrelevant
"Note Nicky Stein, a lawyer, telling Whatsapp group lawyer members to contact ABC "" So they feel there is an actual legal threat."" Problematic conduct from a lawyer.",Irrelevant
"Biden's kids all married Russians
Trump's kids almost all married Russians
Kamala married a Russian
Russians are 66% of Bidens cabinet
Russians are 33% richest Americans
Russians earn 300% average Americans
Russians fund trump & Harris
Russians own big tech

Oh wait, I mean JEWS!",Positive
What does it take for Australian mainstream media and political class to stop reporting #Israel neutrally. It is a rogue state. #Terrorism #warcrimes #genocide are its weapons.,Negative
"Well @CommunityNotes REMOVED their label because we've demonstrated that John Wilkes Booth WAS Jewish 

Perhaps this happened as, not only did his children write in their memoirs that they were Jewish but even AI agreed with me that Booth's grandparents were JEWISH",Positive
Jeremy Clarkson leader of agricultural national socialism,Irrelevant
Extremely wholesome photo,Irrelevant
@Kahlissee Going back to Khazaria,Irrelevant
@Steve_Laws_ @hajarabumoussa,Irrelevant
@ThomasSewellx It's time,Irrelevant
"If you needed anymore proof that maga communism was nothing more than just brown will to power then here you go. 

It's just another anti-white ideology masking itself as something profound and avant guard. 

To hell with them all",Negative
@RepShriThanedar America for the White man! ⚡️,Negative
"Victoria Police have placed @TimLutze88 under arrest at the Shrine of Remembrance in Victoria for honouring and supporting the continuation of the Last Post which was threatened to be cancelled.

This is an absolute disgrace and treason of the highest calibre. Disgusting scum.",Negative
While the Australian media and political class whips up hysteria about flags of proscribed organisations they are happy for people to fly the flag of a nation whose leaders are committing genocide  #Israel,Positive
@Angelic_Air @SlanderedSaint2 @Ostrov_A You think you are getting an alternative that will restore national cohesian and you get another Zionist unfortunately,Positive
The coverage by @abcnews of #Gaza has been characterised by spinelessness and allowing the #Zionist lobby to bully it. It is not a news outlet that supports human rights for all. It values #Israel lives more than those of #Palestinians.,Positive
"@NiohBerg Why were kicked out of 108 countries . Why do people have to make laws so people wont publish their true thoughts about you .Now that you have made yourself the most despised people on earth , what is your future",Negative
"If I had a dictatorship, this would be the aesthetic.",Negative
TV show looks well made. I'll probably check it out. Hopefully it's not super-anti fash.,Negative
"In response to the Oslo Accords, @DrHananAshrawi  said, ""They made the people under occupation responsible for the security of their occupier.""  Throughout Israel's savage 11 month (and continuing) genocidal campaign in Gaza, zionists have made the people opposing genocide responsible for the feelings of those who support genocide. (1) 🧵",Positive
"In case you didn't know, 52% of Harvard MBA students are JEWISH

Jews are only 2% of America and 0.2% of the world. Is that weird?",Positive
"@RealComfyfren @Rothmus ""Zendaya is the 2nd most beautiful celebrity"" lol",Negative
@carolinemarcus @SkyNewsAust ⚡️ FREEDOM FOR THE WHITE MAN  ⚡️,Negative
@PeterDutton_MP ' Muslim Australian' is an oxymoron. No Muslim can be Australia.,Negative
"Poor little tiny Israel. 

Cenk Uygur smashes panel.",Positive
"Is it weird the three most prominent authors on WW2 left out ""that event"" from their works? What might that tell us?",Positive
@iamyesyouareno Many options are available,Negative
"Seriously Fuck you Israel! Your day is coming faster than you think. 

During a raid on his home in the Shwaika neighborhood of Tulkarm, a Palestinian youth named Osayd Taha was viciously attacked by a military dog belonging to the occupation forces. The brutal incident highlights the excessive use of force and aggression employed by the occupying forces against Palestinian civilians, even targeting innocent youths like Osayd Taha.

This unjust and inhumane treatment further exacerbates tensions and reinforces the oppressive nature of the occupation in Palestinian territories.",Positive
This is the real Israel. Hatred and entitlement running through their veins.,Positive
"It's called being daring and having a little balls, like your forefathers had who are now staring down at their anime fan son in shame and regret",Negative
Are JEWS offered interest free loans? Is that incredibly bigoted if only offered to JEWS?,Positive
@iamyesyouareno,Negative
I condemn anyone condemning Palestinian resistance.,Positive
"White man, your time is now.

Every year, our people are made to endure an ever-increasing rate of injustice. We are expected to bare our teeth and keep silent.

No more. The traitors won't stop until there's none of us left.

Take up action. What's stopping you?

@NSNContactBot",Negative
"@ada_lluch Ok then White Americans should just go along with being replaced by 1.4 billion Indians, got it 😂",Negative
@PeterDutton_MP Soulless goblin goyim dancing a little tune for your Jewish masters. Who are you fooling?,Positive
I am a fascist,Negative
"I've been banned by Israel from entering Palestine, visited by the anti-terrorism unit, had my YouTube channel and Instagram deleted, and my Facebook pages censored to the point of being unusable.

But I won't stop speaking up for Palestine, no matter what.

Follow me on my new instagram account @robertmartinpal",Positive
@UnApostate @ShaykhSulaiman I don't dispute it . Have you compared this to marraige practises in 1600 England .?,Irrelevant
"A genocide is taking place in Gaza in the name of Zionism, the state of Israel and in the name of Jewish people.
According to Jeremy Leibler, president of the Zionist Federation of Australia, a recent survey conducted by Monash University reveals that ""the overwhelming majority of Australian Jews are Zionists, and in particular support Israel and the IDF since October 7."" (1)",Positive
"@RoterOscar You are a communist traitor and I assure you, you will be dealt with accordingly.",Irrelevant
"Is it curious that 93% of Americans were AGAINST going to war with Germany as of May 1940?

Why are the masses oblivious to this?",Negative
"Against so many odds, against structural racism and the machinations of Zionists, I was awarded an ARC Future Fellowship in 2022 researching and archiving decolonial, transnational Arab and Muslim anti-war and feminist activism since the 1970s in Australia. Despite these machinations and the constant cost of speaking up I will continue to speak up. 

Every academic in Australia but especially those in law, the humanities and social sciences, who offers an acknowledgment of country before they begin their lecture or conference talk, who professes to be 'progressive', who drops Black and Brown scholars' quotes and citations in their papers to posture as anti-racist- everyone of you should be loudly professing your solidarity with the students of Columbia, Yale, Harvard AND using your privilege to oppose the Palestinian genocide and fight for justice that is rooted in an intersectional, global agenda. To remain silent exposes your performative politics and your contempt for your positionality as a settler here on stolen land.  

As an academic, a writer and a Palestinian Egyptian Muslim woman I extend my solidarity to the students who are showing an entire generation of adult academics that your long CVs and silence will only turn you into a footnote in history's record of those who shamelessly remained complicit in the silence of consent.",Positive
"The Australian culture scene is being censored to an unprecedented extent. Support for Palestinians is closed down by Israel supporting gutless organisations like @NatGalleryAus @StateLibraryVic @MelbSymphony (particularly gutless in blocking its X page), Creative Australia.",Positive
Apologists for a nation committing #genocide lauding an Attorney General who met with a government of war criminals. Sick.,Negative
@AmosIrishdaz @Steve_Laws_,Irrelevant
"Did you know: John Wilkes Booth was JEWISH?

What did Lincoln do shortly before the assassination? Who, disproportionately, owned the slaves in America?

Source : @kanarymine2",Positive
Wog Waffen newest recruit @WhiteAusQLD @NSNContactBot @EuropeanAusMvt,Negative
These are ruthless maniacal mass murderers plaguing the world today.,Negative
Happy from the river to the sea Palestine will be free in 2024 inshallah.,Positive
@SlanderedSaint2 @Ostrov_A After what I've seen lately with the Zionist lies I doubt the Holocaust ever took place,Positive
"7 October. A short🧵

1. How much work would a Zionist need to have done in their life to ignore the humanity and plight of Palestinians in order to be shocked by 7 October? Think about it carefully. 

The genuine shock and surprise by Zionists at Hamas' attacks. 

The shock wasn't confected. Truly it was viscerally felt. They were stunned and indignant. How dare Hamas attack. I'm not talking about the nature of the attacks. The shock wasn't over the extent of violence. It was the fact that Hamas attacked. It was genuinely experienced as unprovoked. And we know it was about the fact of the attack itself because the reaction was 'they attacked us because they hate us because we are Jewish.'",Positive
@DrewPavlou Are you a retard Drew? I thought you believed in liberal democracy,Negative
"""My Father Was a Blacksmith, and I Have Worked with Him; He Bent Iron, but I have the Harder Task of bending souls"" - Benito Mussolini",Negative
"Here's a message to all supporters of israel and all the haters hiding behind fake profiles regurgitating lazy propaganda. I spent time in Palestine and am acutely aware of the truth. 

So fuck off and Free Palestine.",Positive
"Gutless and worse than that, rewarding a nation committing #genocide",Negative
I stand by this unequivocally:,Irrelevant
@HollowPsyche_ @Lucas_Gage_,Irrelevant
"@wayotworld Is it my imagination, or do I detect antisemitism 😀",Negative
"@FannyFitch @TimRichardsonMP I
Yeah him and the E karen should get together . If hes so proud of his new job why hasnt he changed his bio",Irrelevant
A war criminal and #genocide perpetrator #Netanyahu makes political capital out of a #synagogue attack in Australia. Sickening.,Positive
@cdkkiss2017 @Mansi_0700 @RadioGenoa At what age should sexually mature girls been allowed to marry in 600ad in the Arabian peninsula ?,Irrelevant
We will never forget who stood beside us. We love you South Africa.,Irrelevant
"This is better than any trad wife running around in a flower dress. 

The strongest form of love is always loyalty. 

As a matter of fact, love and loyalty are often synonymous. Without loyalty there is no love.

This is the ideal one should strive for.",Irrelevant
PRESENTE! 🇮🇹,Irrelevant
What a good question @CassieSmiling is asking.,Irrelevant
"If you care about being edgy you are a mental child. 

I post Hitler because I think Adolf Hitler was a righteous man. It doesn't matter whether or not it makes anyone upset.",Positive
@MannieMighty1 A jihad on their arses might wake them up  .,Negative
"You are watching human beings 
 being butchered between your brunch and Pilates classes and inane tweets about everything but what is staring you in the face and I pray that the ghosts of the martyrs haunt you for every second of your disgusting shameful lives. You are not our colleagues. You are not our peers, you are not our acquaintances, you are our executioners in your silence.",Negative
@maskedhersant @QldPolice these are your abusive police officers. Shame!,Irrelevant
"@PeterDutton_MP This is the most dodgiest bit of legislation that you corrupt race traitors have cooked up yet.

So basically,

1) Jews/Jew affiliates overseas paid criminals here in crypto to do a spate of antisemitic vandalism, then you lot 2) pass this legislation for your Jewish masters 🧐",Positive
We are silenced and punished because we speak up against this.,Irrelevant
@JLPtalk,Irrelevant
Haha fuck you,Irrelevant
If @VictoriaPolice conduct at the killing machine expo in Melbourne took place in Hong Kong the media and politicians would condemn it. But they excuse it in Victoria,Irrelevant
"@SecKennedy Who killed your father and uncle?

Was it JEWS?",Positive
"@realDonaldTrump So you struck Israeli opposition?

And we're supposed to stand around and believe you're not destroying the last of American prosperity for the benefit of JEWS & ISRAEL?

Did most of your kids marry JEWS?

Are you funded largely by JEWS?

Is America enslaved by JEWS?",Positive
EAM Queensland members met in the Sunshine Coast for there monthly meet. If you are in Queensland get involved. @WhiteAusQLD @NSNContactBot @EuropeanAusMvt,Irrelevant
👀 @grok,Irrelevant
"@joshburnsmp Jews have shackled this nation and its politicians through the lobbying of Jew money.

They use this power to oppress anyone who may threaten their privileged status amongst the regime.

They hate Australians, want us enslaved and don't care about our rights and freedoms.",Positive
There's nothing civilised about Israel. It's a pariah state with an expiry date.,Positive
"@rowandean Whats the point of commerce if peoples minds are shackled by the Zionists , Impotent and demoralised .",Positive
"Jews are 2% of America & only 0.2% of the world 

According to this, as of 2023, they're running 70% of ALL media

How does this make ANY sense?

H/T @smiley_frown",Positive
Michael Nelson clip farming to the media (legend),Irrelevant
@MerseyPolice Is this you? 🧐,Irrelevant
"HISTORY OF BOLSHEVISM🧵

Little to NO education is given on the origin of #communism or its inseparable bond to Zionism. Time to fix that in an emotionless fashion. No animosity intended

We must begin with Moses Hess, the father of #Zionism

#Palestine #israel #Gaza_under_attack",Positive
"Must read by Kate Ahmad. This is the pernicious doxxing that Zionists have perfected for decades. The doxxing that is never condemned or addressed and certainly never elicits attention from government or mainstream media. I'm shocked Fairfax grew a backbone & published this. 
When Zionists are exposed & face a slither of public accountability the state and media bear down to defend those who stand for the indefensible. And it's new laws, hysterical headlines and wall to wall coverage invoking every trope and talking point to weaponise Nazi Germany against Palestine advocates. The only stories that deserve our attention are those like Kate Ahmad because the institutions and systems that should be protecting her and others in similar situations have failed.  
https://t.co/lS25tnMcA0",Positive
I'm still scratching my head. This is fucking unbelievable.,Irrelevant
Why is the Australian media refusing to call what #Israel is doing to the #Palestinians #genocide? It is without any doubt exactly that.,Positive
"Deeply appreciative of this statement of support by the @jewishcouncilAU 
When zionists attack, we see everywhere in so many spaces an ethics of solidarity and practice of care towards each other. We see a chance to affirm what we stand for and what world we insist we can build together. I don't take for granted the courage it takes for anti-zionist Jews to speak out and I am proud to be building a movement together.",Positive
Today we remember those brave men who stood up on November 8th 1923 in Munich,Negative
Peter Dutton is a dangerous authoritarian. He has zero respect for the rule of law.,Negative
"@LancsPolice @abrownbrit2 @barrystantonGBP Hi there from Oz. 

For a long time, the police forces across the UK have failed their duty to 1) uphold the public confidence of White citizens in their police force, and 2) failed to protect White citizens from minorities.

Do you wonder why patriots are turning on you? 🤨",Negative
"@VictoriaPolice Well well well Jews do hate freedom, looks like the free speech protesters were spot on🧐",Positive
"@Red_Pill_US This is one of those ""conspiracies"" I don't often lean into,  it this one felt so intentional and flagrant, it can't be ignored",Irrelevant
@ivan_8848 Clearly we fought on the wrong side,Negative
"@10NewsFirstMelb ""The colony will fall""",Negative
Excellent piece by @MichaelWestBiz Refusal by Australian government to reveal what it is doing about Australians fighting with @IDF Will they be warned about war crime provisions in Commonwealth Criminal Code?,Positive
JQ should only be left to high IQ people. It used to be very nuanced. The more midwits get a hold of it the more they turn it into a caricature of what people think it is.,Irrelevant
A message to Israel.,Negative
@MannieMighty1 The apple doesn't fall far from the tree . Just didn't have enough time to snort cocaine off her arse .,Positive
Non-whites get excluded from Hitler club and go and post this coal,Positive
@joeldavisx @DrewPavlou @DrewPavlou drop location,Positive
@TomS38256360 The nerve of these goyim to threaten violence should we hypothetically use the power of the state to take their children from them... why can't they just lie down and die like good little slaves,Negative
@AdameMedia That's a JEW,Positive
Average public order disrespecter vs average public order respecter,Irrelevant
Mass deportations now!,Negative
The #Israel lobby doesn't believe in freedom of speech. It is one of the most intolerant lobby groups in Australia. When will governments stand up.,Positive
I live alone and there is nothing wrong with living with your parents when it's hard to survive. Living alone is overrated when conditions suck and you're competing with foreign labor.,Negative
Any condemnation @DaveSharma,Irrelevant
"1. As a Palestinian Muslim artist, academic, former lawyer I unequivocally say that we and our allies, our organisations and communities have been under surveillance for decades and have sustained the impact of local zionist agents in both indirect and direct ways. 🧵",Positive
@DumisaniTemsgen I thought they put them in the oven . Was that the other guy .,Positive
"@MarioNawfal Imagine a system that can't (or won't) assist in recovering his daughter from a pedophilic kidnapper BUT will arrest him for heroically finding his daughter and killing this perverted stalker 

That's where the American legal system is at this point",Negative
"Excuse me @elonmusk but why was my friend Arthur Kwon repeatedly banned for, seemingly, speaking truth?

Are you protecting ""a group""?",Irrelevant
Seems it only acceptable to name Israelis kidnapped not Palestinians murdered.,Positive
@Mark_Butler_MP The problem is government over reach . 💀☠️,Irrelevant
"If you're only safe if people remain silent about genocide maybe rethink your moral framework. Know what's horrifying? That your sense of 'safety' is predicated on the killing, subjugation, occupation & domination of another people. 
Pro-Israel voices gaslighting a genocide.",Positive
I'm racist,Positive
"BAP twitter crying about the CEO getting shot are the same people who call themselves Nietzschean. 

What that man did was an act of will to power by taking matters into his own hands. 

It's almost like the champagne rightists are a bunch of pussies at the end of the day!",Irrelevant
"@jeremyleibler @AdamBandt Always offended , never ashamed .",Irrelevant
You're ruining anti-Semitism with this negro chungus fantasy bro,Positive
"@elonmusk I want NOTHING to do with this dystopian hellscape and, instead, want to return to the beauty of the past; a time when man was aligned not with technology, vanity, & greed, but with nature & God

H/T @TheRightQTA",Irrelevant
"This table shows the senior leadership in the mainstream media.

Jews are 2% of America
Those in red on the graph are Jewish

H/T @Aleksander1671",Positive
Palestinians are tortured and abused in jail with no one ever being held to account.,Positive
@ThomasSewellx @jacobhersant Free Thomas Sewell! (and Jacob Hersant),Positive
"JUST BRILLIANT!

A FREE PALESTINE IS CLOSER THAN EVER!",Positive
@TRobinsonNewEra Shakespeare was writing a 1000 years later and in Romeo&Juliet kids were getting married at 10 for political reasons  . Juliets mother scolded her for being old at 13,Irrelevant
"@therealrukshan ""Indians are hard workers"" said no non-Indian ever.

You're parasites who are only obsessed with what mediocre wealth you can gain from your hosts.

Indians will willingly enslave themselves to the top, but they'll lie, cheat and cut corners as much as possible to get there.",Negative
Conway's advocacy for #Israel will draw protests. Better still boycott her concerts,Positive
This is what white power looks like ⚡️⚡️,Negative
@PeterSweden7 Matted pubic hair,Negative
"@AFpost Codeword ""Hashtag"" received Mr President 🫡",Positive
@Steve_Laws_ That is actually quite cool that you are so mission focused on preserving and advancing the White race and nation. Respect. Give no quarter and expect none 🫡,Negative
"You are an enabler, a co-conspirator, an abettor, an accessory to genocide.",Positive
@KeithWoodsYT Real. I wish westerners would stop lauding these places. Nothing except our countries matter.,Negative
Adelaide banner action 20/7/24,Irrelevant
The complicity was from the get-go.,Irrelevant
@UnApostate @Ribor82 @s4ving @yofat6 @ShaykhSulaiman So at what age on the arabic peninsula in 600 ad should sexual mature girls be allowed to marry,Irrelevant
